(New) Cell Type	(Old) Cell Type
HUES48_Cell_Line	HUES48_Cell_Line
iPS_15b_Cell_Line	CD19_Primary_Cells_Peripheral_UW
Psoas_Muscle	Neurosphere_Cultured_Cells_Cortex_Derived
HUES64_Cell_Line	H9_Derived_Neuron_Cultured_Cells
Fetal_Intestine_Large	CD34_Primary_Cells
H1_Cell_Line	CD4pp_CD25__Th_Primary_Cells
Fetal_Kidney	CD34_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Ovary	CD19_Primary_Cells_Cord_BI
Fetal_Intestine_Small	HUVEC_Umbilical_Vein_Endothelial_Cells
iPS_18_Cell_Line	Mobilized_CD34_Primary_Cells_Female
Colon_Smooth_Muscle	Rectal_Mucosa.Donor_31
Breast_vHMEC	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Stomach	Adipose_Nuclei
ES_WA7_Cell_Line	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Left_Ventricle	Adult_Liver
Aorta	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
HUES6_Cell_Line	Skeletal_Muscle_Female
ES_I3_Cell_Line	Duodenum_Mucosa
Stomach_Mucosa	Fetal_Adrenal_Gland
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Right_Ventricle	Mobilized_CD34_Primary_Cells_Male
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Monocytes_CD14pp_RO01746
HSMM_Skeletal_Muscle_Myoblasts	CD14_Primary_Cells
Breast_Myoepithelial_Cells	CD56_Primary_Cells
Brain_Angular_Gyrus	NH_A_Astrocytes
iPS_DF_19.11_Cell_Line	CD15_Primary_Cells
Fetal_Placenta	H1_Cell_Line
IMR90_Cell_Line	Osteoblasts
Brain_Mid_Frontal_Lobe	Dnd41_TCell_Leukemia
NHLF_Lung_Fibroblasts	NHEK_Epidermal_Keratinocytes
Pancreatic_Islets	Fetal_Muscle_Leg
