(New) Cell Type	(Old) Cell Type
HUES48_Cell_Line	HUES48_Cell_Line
iPS_18_Cell_Line	HUES64_Cell_Line
HUES64_Cell_Line	iPS_18_Cell_Line
Psoas_Muscle	H9_Cell_Line
Small_Intestine	iPS_20b_Cell_Line
Aorta	iPS_15b_Cell_Line
H9_Cell_Line	H1_Cell_Line
CD8_Memory_Primary_Cells	HUES6_Cell_Line
HUES6_Cell_Line	ES_I3_Cell_Line
CD4_Naive_Primary_Cells	iPS_DF_6.9_Cell_Line
Fetal_Brain_Female	ES_WA7_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
iPS_15b_Cell_Line	iPS_DF_19.11_Cell_Line
CD4_Memory_Primary_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Hippocampus_Middle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Rectal_Mucosa.Donor_29	4star
Fetal_Lung	Rectal_Smooth_Muscle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
NH_A_Astrocytes	Brain_Anterior_Caudate
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Brain_Male	CD4_Memory_Primary_Cells
Duodenum_Smooth_Muscle	Brain_Angular_Gyrus
K562_Leukemia	Brain_Substantia_Nigra
Rectal_Smooth_Muscle	Colon_Smooth_Muscle
Fetal_Kidney	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
iPS_DF_6.9_Cell_Line	CD4_Naive_Primary_Cells
Brain_Inferior_Temporal_Lobe	Spleen
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Thymus
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
iPS_20b_Cell_Line	CD8_Memory_Primary_Cells
Duodenum_Mucosa	Rectal_Mucosa.Donor_29
Peripheral_Blood_Mononuclear_Primary_Cells	Esophagus
Osteoblasts	Placenta_Amnion
Brain_Angular_Gyrus	Brain_Mid_Frontal_Lobe
Pancreas	Duodenum_Mucosa
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Rectal_Mucosa.Donor_31
Brain_Anterior_Caudate	Psoas_Muscle
Muscle_Satellite_Cultured_Cells	Duodenum_Smooth_Muscle
Brain_Cingulate_Gyrus	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Heart	Colonic_Mucosa
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Brain_Germinal_Matrix
Gastric	Fetal_Intestine_Small
Pancreatic_Islets	Brain_Hippocampus_Middle
A549_EtOH_0.02pct_Lung_Carcinoma	Fetal_Kidney
Brain_Germinal_Matrix	Brain_Inferior_Temporal_Lobe
Brain_Substantia_Nigra	Brain_Cingulate_Gyrus
Thymus	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
ES_I3_Cell_Line	Fetal_Thymus
CD8_Naive_Primary_Cells	CD3_Primary_Cells_Cord_BI
Rectal_Mucosa.Donor_31	Fetal_Brain_Female
Right_Atrium	Fetal_Intestine_Large
HepG2_Hepatocellular_Carcinoma	Peripheral_Blood_Mononuclear_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD8_Naive_Primary_Cells
Brain_Mid_Frontal_Lobe	CD4pp_CD25__Th_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD34_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Heart
NHDF_Ad_Adult_Dermal_Fibroblasts	Stomach_Mucosa
Colon_Smooth_Muscle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Ovary	H9_Derived_Neuronal_Progenitor_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	GM12878_Lymphoblastoid
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Fetal_Adrenal_Gland	NH_A_Astrocytes
CD34_Primary_Cells	Fetal_Lung
HeLa_S3_Cervical_Carcinoma	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Right_Ventricle
ES_WA7_Cell_Line	CD15_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Fetal_Brain_Male
Stomach_Smooth_Muscle	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
NHLF_Lung_Fibroblasts	Adult_Liver
NHEK_Epidermal_Keratinocytes	CD34_Cultured_Cells
H1_Cell_Line	CD19_Primary_Cells_Cord_BI
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Sigmoid_Colon
GM12878_Lymphoblastoid	Skeletal_Muscle_Female
Sigmoid_Colon	Lung
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Left_Ventricle
CD3_Primary_Cells_Cord_BI	Adipose_Nuclei
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NHEK_Epidermal_Keratinocytes
4star	Mobilized_CD34_Primary_Cells_Female
Esophagus	Neurosphere_Cultured_Cells_Cortex_Derived
Skeletal_Muscle_Female	HMEC_Mammary_Epithelial
Adult_Liver	Stomach_Smooth_Muscle
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Ovary
Fetal_Intestine_Large	Mobilized_CD34_Primary_Cells_Male
Fetal_Muscle_Leg	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
H9_Derived_Neuron_Cultured_Cells	CD56_Primary_Cells
Left_Ventricle	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Stomach	Small_Intestine
Breast_Myoepithelial_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Muscle_Leg
IMR90_Cell_Line	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Nuclei	HSMM_Skeletal_Muscle_Myoblasts
Skeletal_Muscle_Male	A549_EtOH_0.02pct_Lung_Carcinoma
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Fetal_Stomach
Fetal_Thymus	NHLF_Lung_Fibroblasts
CD14_Primary_Cells	CD14_Primary_Cells
CD19_Primary_Cells_Cord_BI	NHDF_Ad_Adult_Dermal_Fibroblasts
Placenta_Amnion	Skeletal_Muscle_Male
Fetal_Intestine_Small	Breast_Myoepithelial_Cells
Fetal_Muscle_Trunk	Osteoblasts
HMEC_Mammary_Epithelial	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Lung	Monocytes_CD14pp_RO01746
Colonic_Mucosa	Fetal_Placenta
Mobilized_CD34_Primary_Cells_Male	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
iPS_DF_19.11_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Pancreatic_Islets
Stomach_Mucosa	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Mobilized_CD34_Primary_Cells_Female	Fetal_Muscle_Trunk
HUVEC_Umbilical_Vein_Endothelial_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Placenta	HUVEC_Umbilical_Vein_Endothelial_Cells
Breast_vHMEC	IMR90_Cell_Line
H1_Derived_Mesenchymal_Stem_Cells	Muscle_Satellite_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	Fetal_Adrenal_Gland
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Right_Ventricle	Dnd41_TCell_Leukemia
CD34_Cultured_Cells	Right_Atrium
CD3_Primary_Cells_Peripheral_UW	CD3_Primary_Cells_Peripheral_UW
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Breast_vHMEC
Monocytes_CD14pp_RO01746	HepG2_Hepatocellular_Carcinoma
CD56_Primary_Cells	Aorta
Spleen	Gastric
CD4pp_CD25__Th_Primary_Cells	K562_Leukemia
Dnd41_TCell_Leukemia	HeLa_S3_Cervical_Carcinoma
CD15_Primary_Cells	Pancreas
