(New) Cell Type	(Old) Cell Type
HUES48_Cell_Line	HUES48_Cell_Line
iPS_20b_Cell_Line	Stomach_Mucosa
Mobilized_CD34_Primary_Cells_Female	Placenta_Amnion
Monocytes_CD14pp_RO01746	HUVEC_Umbilical_Vein_Endothelial_Cells
CD15_Primary_Cells	iPS_18_Cell_Line
HUES64_Cell_Line	CD4_Memory_Primary_Cells
Dnd41_TCell_Leukemia	iPS_15b_Cell_Line
Stomach_Mucosa	Small_Intestine
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NH_A_Astrocytes
Fetal_Brain_Male	Pancreas
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD8_Memory_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	iPS_20b_Cell_Line
Adult_Liver	HUES64_Cell_Line
CD19_Primary_Cells_Cord_BI	Colonic_Mucosa
GM12878_Lymphoblastoid	Right_Ventricle
CD19_Primary_Cells_Peripheral_UW	Osteoblasts
CD4pp_CD25__Th_Primary_Cells	CD4_Naive_Primary_Cells
CD4_Memory_Primary_Cells	Muscle_Satellite_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Small_Intestine	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD8_Memory_Primary_Cells	Rectal_Smooth_Muscle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	H1_Cell_Line
CD4_Naive_Primary_Cells	Gastric
CD8_Naive_Primary_Cells	Colon_Smooth_Muscle
CD3_Primary_Cells_Cord_BI	HUES6_Cell_Line
Mobilized_CD34_Primary_Cells_Male	Brain_Mid_Frontal_Lobe
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD8_Naive_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	NHLF_Lung_Fibroblasts
CD3_Primary_Cells_Peripheral_UW	Rectal_Mucosa.Donor_31
Fetal_Heart	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD14_Primary_Cells	Brain_Angular_Gyrus
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Rectal_Mucosa.Donor_29
NHDF_Ad_Adult_Dermal_Fibroblasts	Skeletal_Muscle_Female
iPS_18_Cell_Line	iPS_DF_6.9_Cell_Line
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	HMEC_Mammary_Epithelial
A549_EtOH_0.02pct_Lung_Carcinoma	NHDF_Ad_Adult_Dermal_Fibroblasts
K562_Leukemia	Brain_Cingulate_Gyrus
iPS_DF_6.9_Cell_Line	Fetal_Heart
CD34_Cultured_Cells	ES_I3_Cell_Line
CD34_Primary_Cells	HepG2_Hepatocellular_Carcinoma
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	HeLa_S3_Cervical_Carcinoma
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Psoas_Muscle
Rectal_Smooth_Muscle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	ES_WA7_Cell_Line
Fetal_Kidney	H9_Cell_Line
Colon_Smooth_Muscle	Brain_Substantia_Nigra
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Brain_Inferior_Temporal_Lobe
Breast_Myoepithelial_Cells	Sigmoid_Colon
CD56_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
ES_WA7_Cell_Line	Brain_Anterior_Caudate
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Fetal_Kidney
Skeletal_Muscle_Female	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Osteoblasts	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Brain_Female	Left_Ventricle
Neurosphere_Cultured_Cells_Cortex_Derived	Brain_Hippocampus_Middle
Adipose_Nuclei	H1_Derived_Neuronal_Progenitor_Cultured_Cells
HUES6_Cell_Line	CD4pp_CD25__Th_Primary_Cells
Fetal_Lung	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Angular_Gyrus	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Skeletal_Muscle_Male	K562_Leukemia
HSMM_Skeletal_Muscle_Myoblasts	CD3_Primary_Cells_Peripheral_UW
Duodenum_Mucosa	Skeletal_Muscle_Male
iPS_15b_Cell_Line	NHEK_Epidermal_Keratinocytes
HeLa_S3_Cervical_Carcinoma	Fetal_Placenta
HUVEC_Umbilical_Vein_Endothelial_Cells	Ovary
4star	Aorta
Rectal_Mucosa.Donor_29	Stomach_Smooth_Muscle
H1_Cell_Line	Right_Atrium
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Duodenum_Mucosa
Rectal_Mucosa.Donor_31	Fetal_Brain_Male
HMEC_Mammary_Epithelial	CD56_Primary_Cells
NHLF_Lung_Fibroblasts	Pancreatic_Islets
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Muscle_Trunk
Muscle_Satellite_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
Duodenum_Smooth_Muscle	CD15_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
H9_Cell_Line	Duodenum_Smooth_Muscle
Ovary	Thymus
Fetal_Muscle_Leg	Fetal_Lung
iPS_DF_19.11_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Intestine_Small	4star
Psoas_Muscle	Adult_Liver
NH_A_Astrocytes	Dnd41_TCell_Leukemia
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Adipose_Nuclei
Fetal_Intestine_Large	Fetal_Thymus
NHEK_Epidermal_Keratinocytes	Breast_vHMEC
Right_Ventricle	Brain_Germinal_Matrix
Brain_Mid_Frontal_Lobe	A549_EtOH_0.02pct_Lung_Carcinoma
H9_Derived_Neuron_Cultured_Cells	Fetal_Adrenal_Gland
Brain_Germinal_Matrix	CD19_Primary_Cells_Peripheral_UW
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Brain_Cingulate_Gyrus	CD3_Primary_Cells_Cord_BI
Fetal_Adrenal_Gland	Esophagus
ES_I3_Cell_Line	Monocytes_CD14pp_RO01746
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Spleen
Breast_vHMEC	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Left_Ventricle	Neurosphere_Cultured_Cells_Cortex_Derived
Placenta_Amnion	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Thymus	CD34_Cultured_Cells
Fetal_Muscle_Trunk	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Pancreatic_Islets	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Brain_Inferior_Temporal_Lobe	H9_Derived_Neuron_Cultured_Cells
Brain_Substantia_Nigra	Breast_Myoepithelial_Cells
Brain_Hippocampus_Middle	Fetal_Brain_Female
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Intestine_Large
Right_Atrium	Mobilized_CD34_Primary_Cells_Female
Gastric	CD19_Primary_Cells_Cord_BI
IMR90_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Colonic_Mucosa	Fetal_Muscle_Leg
Stomach_Smooth_Muscle	Lung
Pancreas	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Sigmoid_Colon	CD34_Primary_Cells
Brain_Anterior_Caudate	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD14_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Stomach	Fetal_Stomach
H1_Derived_Mesenchymal_Stem_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Thymus	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Placenta	H1_Derived_Mesenchymal_Stem_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Esophagus	iPS_DF_19.11_Cell_Line
Aorta	IMR90_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	GM12878_Lymphoblastoid
Spleen	Fetal_Intestine_Small
Lung	Mobilized_CD34_Primary_Cells_Male
