(New) Cell Type	(Old) Cell Type
HUES64_Cell_Line	HUES64_Cell_Line
Adipose_Nuclei	HUES6_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HepG2_Hepatocellular_Carcinoma
H9_Derived_Neuron_Cultured_Cells	Mobilized_CD34_Primary_Cells_Male
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD14_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	Breast_Myoepithelial_Cells
Adult_Liver	iPS_20b_Cell_Line
ES_I3_Cell_Line	Adult_Liver
Neurosphere_Cultured_Cells_Cortex_Derived	Adipose_Nuclei
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Fetal_Intestine_Small	IMR90_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Muscle_Leg	HUVEC_Umbilical_Vein_Endothelial_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Aorta
Fetal_Placenta	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
HMEC_Mammary_Epithelial	A549_EtOH_0.02pct_Lung_Carcinoma
Breast_vHMEC	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	4star
HepG2_Hepatocellular_Carcinoma	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Adrenal_Gland	Brain_Anterior_Caudate
Muscle_Satellite_Cultured_Cells	CD15_Primary_Cells
HUES48_Cell_Line	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
GM12878_Lymphoblastoid	Fetal_Adrenal_Gland
Aorta	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
iPS_18_Cell_Line	Pancreatic_Islets
iPS_20b_Cell_Line	Breast_vHMEC
Lung	Fetal_Placenta
NHEK_Epidermal_Keratinocytes	CD56_Primary_Cells
Left_Ventricle	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Intestine_Large	CD19_Primary_Cells_Peripheral_UW
CD34_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
4star	Psoas_Muscle
Dnd41_TCell_Leukemia	Brain_Angular_Gyrus
Duodenum_Mucosa	Mobilized_CD34_Primary_Cells_Female
Pancreatic_Islets	Lung
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Intestine_Small
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Brain_Cingulate_Gyrus
Breast_Myoepithelial_Cells	Brain_Hippocampus_Middle
CD56_Primary_Cells	Fetal_Muscle_Leg
H1_Derived_Mesenchymal_Stem_Cells	ES_I3_Cell_Line
CD34_Primary_Cells	HUES48_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Inferior_Temporal_Lobe
Monocytes_CD14pp_RO01746	Monocytes_CD14pp_RO01746
HSMM_Skeletal_Muscle_Myoblasts	Brain_Mid_Frontal_Lobe
Osteoblasts	NHEK_Epidermal_Keratinocytes
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Brain_Female
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Duodenum_Smooth_Muscle
Brain_Hippocampus_Middle	Brain_Substantia_Nigra
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD34_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	Pancreas
CD14_Primary_Cells	Left_Ventricle
Sigmoid_Colon	Brain_Germinal_Matrix
NHDF_Ad_Adult_Dermal_Fibroblasts	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Lung	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
A549_EtOH_0.02pct_Lung_Carcinoma	Stomach_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	CD34_Cultured_Cells
HUES6_Cell_Line	CD3_Primary_Cells_Peripheral_UW
Fetal_Stomach	CD4_Memory_Primary_Cells
Brain_Anterior_Caudate	CD19_Primary_Cells_Cord_BI
CD3_Primary_Cells_Cord_BI	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Small_Intestine	Duodenum_Mucosa
CD19_Primary_Cells_Peripheral_UW	CD3_Primary_Cells_Cord_BI
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
K562_Leukemia	Dnd41_TCell_Leukemia
CD4pp_CD25__Th_Primary_Cells	CD8_Memory_Primary_Cells
NHLF_Lung_Fibroblasts	CD4_Naive_Primary_Cells
CD15_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Fetal_Brain_Female	Fetal_Lung
iPS_15b_Cell_Line	CD4pp_CD25__Th_Primary_Cells
CD19_Primary_Cells_Cord_BI	CD4pp_CD25pp_CD127__Treg_Primary_Cells
NH_A_Astrocytes	Fetal_Heart
Stomach_Smooth_Muscle	H1_Derived_Mesenchymal_Stem_Cells
CD3_Primary_Cells_Peripheral_UW	CD8_Naive_Primary_Cells
H1_Cell_Line	GM12878_Lymphoblastoid
Right_Atrium	ES_WA7_Cell_Line
Psoas_Muscle	Colonic_Mucosa
Esophagus	Fetal_Stomach
Brain_Inferior_Temporal_Lobe	Fetal_Muscle_Trunk
Brain_Cingulate_Gyrus	Colon_Smooth_Muscle
Rectal_Mucosa.Donor_31	Fetal_Brain_Male
HeLa_S3_Cervical_Carcinoma	Fetal_Kidney
Ovary	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Germinal_Matrix	HeLa_S3_Cervical_Carcinoma
Skeletal_Muscle_Female	Fetal_Intestine_Large
Brain_Substantia_Nigra	Gastric
Pancreas	K562_Leukemia
Fetal_Muscle_Trunk	Fetal_Thymus
Rectal_Mucosa.Donor_29	Muscle_Satellite_Cultured_Cells
Fetal_Thymus	H1_Cell_Line
Duodenum_Smooth_Muscle	Osteoblasts
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	HSMM_Skeletal_Muscle_Myoblasts
CD8_Naive_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Brain_Angular_Gyrus	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Fetal_Brain_Male	Neurosphere_Cultured_Cells_Cortex_Derived
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Esophagus
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Ovary
Peripheral_Blood_Mononuclear_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Skeletal_Muscle_Male	Skeletal_Muscle_Female
Fetal_Heart	Rectal_Mucosa.Donor_31
IMR90_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
H9_Cell_Line	Right_Atrium
Brain_Mid_Frontal_Lobe	HMEC_Mammary_Epithelial
Right_Ventricle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Stomach_Mucosa	Rectal_Mucosa.Donor_29
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Skeletal_Muscle_Male
Thymus	Thymus
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	H9_Cell_Line
Spleen	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Kidney	Right_Ventricle
ES_WA7_Cell_Line	Sigmoid_Colon
Rectal_Smooth_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
Colon_Smooth_Muscle	Stomach_Mucosa
iPS_DF_19.11_Cell_Line	NH_A_Astrocytes
CD8_Memory_Primary_Cells	NHLF_Lung_Fibroblasts
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Spleen
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Small_Intestine
CD4_Memory_Primary_Cells	Rectal_Smooth_Muscle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	iPS_DF_19.11_Cell_Line
CD4_Naive_Primary_Cells	iPS_18_Cell_Line
Colonic_Mucosa	iPS_15b_Cell_Line
Placenta_Amnion	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
iPS_DF_6.9_Cell_Line	iPS_DF_6.9_Cell_Line
Gastric	Placenta_Amnion
