(New) Cell Type	(Old) Cell Type
HUES64_Cell_Line	HUES64_Cell_Line
HUES6_Cell_Line	iPS_20b_Cell_Line
Fetal_Kidney	HUES48_Cell_Line
Colonic_Mucosa	H9_Cell_Line
NH_A_Astrocytes	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	iPS_18_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	H1_Cell_Line
Small_Intestine	iPS_15b_Cell_Line
iPS_15b_Cell_Line	iPS_DF_6.9_Cell_Line
Right_Atrium	iPS_DF_19.11_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	HUES6_Cell_Line
Fetal_Brain_Male	ES_I3_Cell_Line
HUES48_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
iPS_18_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Esophagus	ES_WA7_Cell_Line
CD4pp_CD25__Th_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Placenta_Amnion
Breast_Myoepithelial_Cells	Thymus
Pancreas	4star
Aorta	Rectal_Smooth_Muscle
HeLa_S3_Cervical_Carcinoma	Colon_Smooth_Muscle
Psoas_Muscle	Fetal_Thymus
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Rectal_Mucosa.Donor_29
Skeletal_Muscle_Male	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Rectal_Mucosa.Donor_31
Spleen	Brain_Anterior_Caudate
H9_Derived_Neuron_Cultured_Cells	Fetal_Intestine_Small
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Rectal_Smooth_Muscle	Duodenum_Mucosa
Thymus	Brain_Germinal_Matrix
Left_Ventricle	Spleen
Dnd41_TCell_Leukemia	Duodenum_Smooth_Muscle
iPS_20b_Cell_Line	Colonic_Mucosa
Fetal_Heart	CD15_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD4_Memory_Primary_Cells
CD34_Primary_Cells	CD4_Naive_Primary_Cells
CD19_Primary_Cells_Cord_BI	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
NHLF_Lung_Fibroblasts	Brain_Angular_Gyrus
Brain_Germinal_Matrix	Brain_Substantia_Nigra
NHDF_Ad_Adult_Dermal_Fibroblasts	Peripheral_Blood_Mononuclear_Primary_Cells
CD56_Primary_Cells	Brain_Mid_Frontal_Lobe
Ovary	Esophagus
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Stomach_Mucosa
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD8_Memory_Primary_Cells
Fetal_Brain_Female	Fetal_Intestine_Large
CD34_Cultured_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Intestine_Large	CD4pp_CD25__Th_Primary_Cells
Rectal_Mucosa.Donor_29	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Lung	Brain_Hippocampus_Middle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Brain_Inferior_Temporal_Lobe
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Pancreatic_Islets	Fetal_Kidney
Fetal_Thymus	Brain_Cingulate_Gyrus
Fetal_Intestine_Small	Fetal_Brain_Female
Skeletal_Muscle_Female	Right_Ventricle
ES_I3_Cell_Line	Psoas_Muscle
Fetal_Stomach	CD3_Primary_Cells_Cord_BI
Brain_Mid_Frontal_Lobe	CD19_Primary_Cells_Peripheral_UW
Muscle_Satellite_Cultured_Cells	CD8_Naive_Primary_Cells
ES_WA7_Cell_Line	CD34_Primary_Cells
Fetal_Lung	Fetal_Heart
Fetal_Muscle_Leg	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD34_Cultured_Cells
H9_Cell_Line	CD14_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	CD19_Primary_Cells_Cord_BI
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Mobilized_CD34_Primary_Cells_Female
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD56_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Osteoblasts	Fetal_Brain_Male
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Skeletal_Muscle_Female
CD19_Primary_Cells_Peripheral_UW	Mobilized_CD34_Primary_Cells_Male
iPS_DF_6.9_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
K562_Leukemia	Fetal_Lung
Brain_Angular_Gyrus	NH_A_Astrocytes
