(New) Chromatin State	(Old) Chromatin State
Flanking_Active_TSS	Active_TSS
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Enhancers	Transcr_at_gene_5_and_3
Genic_enhancers	Bivalent_Poised_TSS
ZNF_genes_and_repeats	Flanking_Bivalent_TSS_Enh
Bivalent_Enhancer	Enhancers
Active_TSS	Bivalent_Enhancer
Bivalent_Poised_TSS	Genic_enhancers
Repressed_PolyComb	Repressed_PolyComb
Flanking_Bivalent_TSS_Enh	Weak_transcription
Heterochromatin	ZNF_genes_and_repeats
Strong_transcription	Weak_Repressed_PolyComb
Weak_transcription	Quiescent_Low
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Heterochromatin
