(New) Cell Type	(Old) Cell Type
HUVEC_Umbilical_Vein_Endothelial_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	NH_A_Astrocytes
CD15_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Muscle_Satellite_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Mobilized_CD34_Primary_Cells_Female	Osteoblasts
CD4_Memory_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Heart	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HUES6_Cell_Line	HMEC_Mammary_Epithelial
CD4_Naive_Primary_Cells	HeLa_S3_Cervical_Carcinoma
Breast_vHMEC	Breast_Myoepithelial_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	NHDF_Ad_Adult_Dermal_Fibroblasts
CD19_Primary_Cells_Cord_BI	NHLF_Lung_Fibroblasts
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Adipose_Nuclei
HMEC_Mammary_Epithelial	Small_Intestine
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Duodenum_Smooth_Muscle
CD3_Primary_Cells_Cord_BI	Rectal_Smooth_Muscle
HSMM_Skeletal_Muscle_Myoblasts	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Duodenum_Mucosa
Breast_Myoepithelial_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	NHEK_Epidermal_Keratinocytes
Dnd41_TCell_Leukemia	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Fetal_Intestine_Small	HUES64_Cell_Line
K562_Leukemia	HSMM_Skeletal_Muscle_Myoblasts
H9_Derived_Neuron_Cultured_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Colon_Smooth_Muscle
CD8_Naive_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Adult_Liver	Breast_vHMEC
Fetal_Muscle_Leg	Fetal_Kidney
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Fetal_Brain_Female	Mobilized_CD34_Primary_Cells_Female
