(New) Chromatin State	(Old) Chromatin State
Heterochromatin	Repressed_PolyComb
Strong_transcription	Bivalent_Enhancer
Repressed_PolyComb	Bivalent_Poised_TSS
Weak_transcription	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Flanking_Active_TSS
Genic_enhancers	Active_TSS
Enhancers	Enhancers
Active_TSS	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	ZNF_genes_and_repeats
Flanking_Active_TSS	Heterochromatin
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	Weak_transcription
Flanking_Bivalent_TSS_Enh	Quiescent_Low
Quiescent_Low	Strong_transcription
