(New) Cell Type	(Old) Cell Type
HeLa_S3_Cervical_Carcinoma	HeLa_S3_Cervical_Carcinoma
A549_EtOH_0.02pct_Lung_Carcinoma	Psoas_Muscle
H1_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Monocytes_CD14pp_RO01746	Breast_vHMEC
H9_Derived_Neuron_Cultured_Cells	HMEC_Mammary_Epithelial
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Cell_Line
HUES6_Cell_Line	4star
CD4_Naive_Primary_Cells	Pancreatic_Islets
NHEK_Epidermal_Keratinocytes	Sigmoid_Colon
CD4_Memory_Primary_Cells	Small_Intestine
4star	HUES64_Cell_Line
Brain_Substantia_Nigra	NH_A_Astrocytes
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	iPS_18_Cell_Line
CD4pp_CD25__Th_Primary_Cells	Fetal_Kidney
Brain_Angular_Gyrus	H9_Cell_Line
Rectal_Mucosa.Donor_31	Stomach_Mucosa
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	H9_Derived_Neuron_Cultured_Cells
Rectal_Smooth_Muscle	Brain_Angular_Gyrus
Placenta_Amnion	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Duodenum_Mucosa	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Anterior_Caudate	HUES48_Cell_Line
K562_Leukemia	iPS_DF_6.9_Cell_Line
Ovary	iPS_15b_Cell_Line
Duodenum_Smooth_Muscle	Fetal_Adrenal_Gland
Fetal_Lung	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
NH_A_Astrocytes	Fetal_Brain_Male
GM12878_Lymphoblastoid	ES_I3_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Pancreatic_Islets	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Cingulate_Gyrus	Mobilized_CD34_Primary_Cells_Female
HepG2_Hepatocellular_Carcinoma	Fetal_Intestine_Large
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Lung
Brain_Inferior_Temporal_Lobe	Colon_Smooth_Muscle
Brain_Germinal_Matrix	HUVEC_Umbilical_Vein_Endothelial_Cells
Thymus	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Mobilized_CD34_Primary_Cells_Male	NHLF_Lung_Fibroblasts
HSMM_Skeletal_Muscle_Myoblasts	Breast_Myoepithelial_Cells
CD34_Primary_Cells	Brain_Mid_Frontal_Lobe
CD19_Primary_Cells_Peripheral_UW	Fetal_Placenta
IMR90_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Rectal_Smooth_Muscle
Brain_Hippocampus_Middle	HUES6_Cell_Line
Muscle_Satellite_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Nuclei	NHDF_Ad_Adult_Dermal_Fibroblasts
HMEC_Mammary_Epithelial	CD34_Primary_Cells
Rectal_Mucosa.Donor_29	iPS_20b_Cell_Line
ES_I3_Cell_Line	Rectal_Mucosa.Donor_31
CD19_Primary_Cells_Cord_BI	HepG2_Hepatocellular_Carcinoma
Left_Ventricle	NHEK_Epidermal_Keratinocytes
Osteoblasts	Fetal_Brain_Female
Skeletal_Muscle_Male	Duodenum_Mucosa
NHLF_Lung_Fibroblasts	Brain_Cingulate_Gyrus
CD3_Primary_Cells_Cord_BI	Duodenum_Smooth_Muscle
Fetal_Brain_Male	HSMM_Skeletal_Muscle_Myoblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
iPS_15b_Cell_Line	CD34_Cultured_Cells
Right_Ventricle	Brain_Germinal_Matrix
Skeletal_Muscle_Female	Osteoblasts
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Esophagus
Brain_Mid_Frontal_Lobe	Fetal_Lung
iPS_20b_Cell_Line	Rectal_Mucosa.Donor_29
Fetal_Brain_Female	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD3_Primary_Cells_Peripheral_UW	Right_Ventricle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Colonic_Mucosa
Peripheral_Blood_Mononuclear_Primary_Cells	Brain_Inferior_Temporal_Lobe
CD8_Memory_Primary_Cells	Muscle_Satellite_Cultured_Cells
iPS_18_Cell_Line	Brain_Substantia_Nigra
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Brain_Anterior_Caudate
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Colon_Smooth_Muscle	Left_Ventricle
Dnd41_TCell_Leukemia	A549_EtOH_0.02pct_Lung_Carcinoma
Stomach_Smooth_Muscle	CD8_Memory_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Pancreas
Adult_Liver	Brain_Hippocampus_Middle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Fetal_Thymus
Sigmoid_Colon	Gastric
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Muscle_Trunk
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4_Memory_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	Placenta_Amnion
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Adipose_Nuclei
Fetal_Thymus	Thymus
CD15_Primary_Cells	Fetal_Muscle_Leg
HUES48_Cell_Line	IMR90_Cell_Line
Stomach_Mucosa	CD8_Naive_Primary_Cells
Fetal_Stomach	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Peripheral_Blood_Mononuclear_Primary_Cells
Psoas_Muscle	Fetal_Stomach
Fetal_Heart	CD14_Primary_Cells
Right_Atrium	Adult_Liver
CD34_Cultured_Cells	K562_Leukemia
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD4pp_CD25__Th_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Skeletal_Muscle_Female
HUES64_Cell_Line	Fetal_Heart
Fetal_Adrenal_Gland	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Fetal_Placenta	Dnd41_TCell_Leukemia
CD56_Primary_Cells	CD4_Naive_Primary_Cells
Fetal_Muscle_Trunk	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Ovary
H1_Derived_Mesenchymal_Stem_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Muscle_Leg	Mobilized_CD34_Primary_Cells_Male
iPS_DF_19.11_Cell_Line	CD3_Primary_Cells_Cord_BI
CD8_Naive_Primary_Cells	Aorta
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Stomach_Smooth_Muscle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Fetal_Intestine_Small
Fetal_Intestine_Small	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Breast_vHMEC	CD19_Primary_Cells_Peripheral_UW
Breast_Myoepithelial_Cells	CD56_Primary_Cells
Pancreas	CD3_Primary_Cells_Peripheral_UW
Fetal_Intestine_Large	CD19_Primary_Cells_Cord_BI
CD14_Primary_Cells	Monocytes_CD14pp_RO01746
H9_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Colonic_Mucosa	Skeletal_Muscle_Male
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	GM12878_Lymphoblastoid
Fetal_Kidney	CD15_Primary_Cells
Small_Intestine	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Lung	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Aorta	Spleen
Spleen	H1_Derived_Mesenchymal_Stem_Cells
Esophagus	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Gastric	iPS_DF_19.11_Cell_Line
ES_WA7_Cell_Line	Right_Atrium
iPS_DF_6.9_Cell_Line	ES_WA7_Cell_Line
