(New) Cell Type	(Old) Cell Type
HepG2_Hepatocellular_Carcinoma	HepG2_Hepatocellular_Carcinoma
ES_I3_Cell_Line	Duodenum_Mucosa
Fetal_Lung	A549_EtOH_0.02pct_Lung_Carcinoma
Pancreas	Fetal_Intestine_Large
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Rectal_Mucosa.Donor_31
HUES6_Cell_Line	CD8_Memory_Primary_Cells
Brain_Mid_Frontal_Lobe	Fetal_Intestine_Small
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD4_Naive_Primary_Cells
Right_Atrium	Rectal_Mucosa.Donor_29
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4_Memory_Primary_Cells
Aorta	Rectal_Smooth_Muscle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	NHLF_Lung_Fibroblasts
iPS_DF_6.9_Cell_Line	Colonic_Mucosa
H1_Cell_Line	Colon_Smooth_Muscle
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Stomach_Mucosa
Brain_Inferior_Temporal_Lobe	H9_Derived_Neuronal_Progenitor_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Angular_Gyrus
Neurosphere_Cultured_Cells_Cortex_Derived	HSMM_Skeletal_Muscle_Myoblasts
Rectal_Mucosa.Donor_29	NHEK_Epidermal_Keratinocytes
Rectal_Mucosa.Donor_31	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
H9_Cell_Line	Duodenum_Smooth_Muscle
Duodenum_Mucosa	NHDF_Ad_Adult_Dermal_Fibroblasts
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Substantia_Nigra
Thymus	H9_Cell_Line
Gastric	Adult_Liver
CD8_Naive_Primary_Cells	CD3_Primary_Cells_Cord_BI
Breast_Myoepithelial_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Brain_Angular_Gyrus	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Substantia_Nigra	ES_I3_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD8_Naive_Primary_Cells
