(New) Chromatin State	(Old) Chromatin State
Quiescent_Low	Heterochromatin
Weak_Repressed_PolyComb	Quiescent_Low
Weak_transcription	Weak_transcription
Strong_transcription	Strong_transcription
Heterochromatin	Enhancers
ZNF_genes_and_repeats	Flanking_Active_TSS
Repressed_PolyComb	Weak_Repressed_PolyComb
Enhancers	ZNF_genes_and_repeats
Genic_enhancers	Repressed_PolyComb
Transcr_at_gene_5_and_3	Bivalent_Poised_TSS
Active_TSS	Bivalent_Enhancer
Flanking_Active_TSS	Flanking_Bivalent_TSS_Enh
Bivalent_Enhancer	Active_TSS
Bivalent_Poised_TSS	Transcr_at_gene_5_and_3
Flanking_Bivalent_TSS_Enh	Genic_enhancers
