(New) Cell Type	(Old) Cell Type
K562_Leukemia	K562_Leukemia
HeLa_S3_Cervical_Carcinoma	HepG2_Hepatocellular_Carcinoma
GM12878_Lymphoblastoid	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	IMR90_Cell_Line
Rectal_Mucosa.Donor_29	iPS_DF_19.11_Cell_Line
HMEC_Mammary_Epithelial	Fetal_Adrenal_Gland
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
CD4pp_CD25__Th_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD3_Primary_Cells_Cord_BI	Fetal_Muscle_Trunk
Rectal_Mucosa.Donor_31	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
HSMM_Skeletal_Muscle_Myoblasts	Muscle_Satellite_Cultured_Cells
CD8_Naive_Primary_Cells	Fetal_Stomach
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Skeletal_Muscle_Male
Ovary	H1_Derived_Mesenchymal_Stem_Cells
Sigmoid_Colon	Stomach_Smooth_Muscle
Pancreatic_Islets	Osteoblasts
CD34_Cultured_Cells	Fetal_Muscle_Leg
CD19_Primary_Cells_Cord_BI	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
A549_EtOH_0.02pct_Lung_Carcinoma	NHLF_Lung_Fibroblasts
Left_Ventricle	Fetal_Placenta
Brain_Angular_Gyrus	NH_A_Astrocytes
NHLF_Lung_Fibroblasts	NHEK_Epidermal_Keratinocytes
CD3_Primary_Cells_Peripheral_UW	Duodenum_Mucosa
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Cingulate_Gyrus	HeLa_S3_Cervical_Carcinoma
HUVEC_Umbilical_Vein_Endothelial_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Duodenum_Mucosa	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Right_Ventricle	H9_Derived_Neuron_Cultured_Cells
Fetal_Intestine_Large	Small_Intestine
Brain_Mid_Frontal_Lobe	Right_Ventricle
Adult_Liver	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
NHDF_Ad_Adult_Dermal_Fibroblasts	Colonic_Mucosa
CD34_Primary_Cells	CD8_Memory_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD34_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Adipose_Nuclei
CD56_Primary_Cells	Skeletal_Muscle_Female
IMR90_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
Right_Atrium	NHDF_Ad_Adult_Dermal_Fibroblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Inferior_Temporal_Lobe	4star
H9_Derived_Neuron_Cultured_Cells	Breast_vHMEC
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
CD8_Memory_Primary_Cells	Duodenum_Smooth_Muscle
NHEK_Epidermal_Keratinocytes	Placenta_Amnion
Rectal_Smooth_Muscle	Stomach_Mucosa
CD14_Primary_Cells	Fetal_Intestine_Large
Brain_Substantia_Nigra	Rectal_Smooth_Muscle
Brain_Hippocampus_Middle	Rectal_Mucosa.Donor_29
Psoas_Muscle	Fetal_Intestine_Small
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Dnd41_TCell_Leukemia
Aorta	Brain_Hippocampus_Middle
Fetal_Intestine_Small	Brain_Mid_Frontal_Lobe
CD19_Primary_Cells_Peripheral_UW	Sigmoid_Colon
Fetal_Heart	Spleen
Mobilized_CD34_Primary_Cells_Male	Brain_Cingulate_Gyrus
CD15_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
