(New) Cell Type	(Old) Cell Type
Lung	Lung
Esophagus	Left_Ventricle
IMR90_Cell_Line	Right_Ventricle
Fetal_Placenta	Right_Atrium
Stomach_Mucosa	Colonic_Mucosa
Fetal_Muscle_Leg	Esophagus
Skeletal_Muscle_Female	Rectal_Smooth_Muscle
iPS_DF_19.11_Cell_Line	Spleen
H1_Derived_Mesenchymal_Stem_Cells	Gastric
Colonic_Mucosa	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Thymus	Stomach_Smooth_Muscle
Brain_Hippocampus_Middle	Pancreas
CD34_Cultured_Cells	Rectal_Mucosa.Donor_29
Duodenum_Mucosa	Duodenum_Smooth_Muscle
Pancreas	Fetal_Intestine_Small
Fetal_Muscle_Trunk	Skeletal_Muscle_Male
Stomach_Smooth_Muscle	IMR90_Cell_Line
Gastric	Colon_Smooth_Muscle
Fetal_Intestine_Large	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Adrenal_Gland	Psoas_Muscle
iPS_15b_Cell_Line	Brain_Mid_Frontal_Lobe
Adipose_Nuclei	Duodenum_Mucosa
Spleen	Rectal_Mucosa.Donor_31
Brain_Anterior_Caudate	Fetal_Intestine_Large
Left_Ventricle	NHLF_Lung_Fibroblasts
Rectal_Smooth_Muscle	Fetal_Muscle_Trunk
4star	iPS_DF_6.9_Cell_Line
Fetal_Brain_Female	Fetal_Stomach
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Adipose_Nuclei
Colon_Smooth_Muscle	Stomach_Mucosa
Brain_Germinal_Matrix	Thymus
NHLF_Lung_Fibroblasts	Ovary
Brain_Cingulate_Gyrus	Fetal_Adrenal_Gland
Rectal_Mucosa.Donor_31	Skeletal_Muscle_Female
Rectal_Mucosa.Donor_29	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	HSMM_Skeletal_Muscle_Myoblasts
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Breast_Myoepithelial_Cells
CD3_Primary_Cells_Peripheral_UW	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Sigmoid_Colon	H1_Derived_Mesenchymal_Stem_Cells
H1_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	iPS_DF_19.11_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Sigmoid_Colon
HepG2_Hepatocellular_Carcinoma	Fetal_Muscle_Leg
Right_Ventricle	Muscle_Satellite_Cultured_Cells
Right_Atrium	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Thymus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Aorta	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Mid_Frontal_Lobe	Fetal_Placenta
Skeletal_Muscle_Male	H1_BMP4_Derived_Trophoblast_Cultured_Cells
H9_Cell_Line	CD3_Primary_Cells_Peripheral_UW
Mobilized_CD34_Primary_Cells_Female	H9_Cell_Line
Fetal_Kidney	NHEK_Epidermal_Keratinocytes
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	H1_Cell_Line
Ovary	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Brain_Male	Monocytes_CD14pp_RO01746
CD34_Primary_Cells	Brain_Cingulate_Gyrus
CD56_Primary_Cells	CD8_Memory_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Inferior_Temporal_Lobe
Adult_Liver	Osteoblasts
Fetal_Stomach	Brain_Anterior_Caudate
Fetal_Lung	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Duodenum_Smooth_Muscle	CD34_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Inferior_Temporal_Lobe	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Brain_Substantia_Nigra	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Brain_Angular_Gyrus	Brain_Hippocampus_Middle
Neurosphere_Cultured_Cells_Cortex_Derived	Brain_Angular_Gyrus
CD14_Primary_Cells	Brain_Substantia_Nigra
Fetal_Thymus	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
iPS_DF_6.9_Cell_Line	CD19_Primary_Cells_Cord_BI
CD19_Primary_Cells_Peripheral_UW	CD56_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	CD14_Primary_Cells
Psoas_Muscle	HUVEC_Umbilical_Vein_Endothelial_Cells
HMEC_Mammary_Epithelial	CD19_Primary_Cells_Peripheral_UW
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	NH_A_Astrocytes
CD3_Primary_Cells_Cord_BI	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD8_Memory_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HeLa_S3_Cervical_Carcinoma	CD15_Primary_Cells
Placenta_Amnion	HMEC_Mammary_Epithelial
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD4_Naive_Primary_Cells
CD19_Primary_Cells_Cord_BI	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
CD4_Memory_Primary_Cells	Small_Intestine
HSMM_Skeletal_Muscle_Myoblasts	HepG2_Hepatocellular_Carcinoma
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
CD4_Naive_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Monocytes_CD14pp_RO01746	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD8_Naive_Primary_Cells
HUES6_Cell_Line	CD3_Primary_Cells_Cord_BI
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Breast_vHMEC
Fetal_Heart	CD4_Memory_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Placenta_Amnion
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
NHEK_Epidermal_Keratinocytes	4star
Osteoblasts	Fetal_Lung
Breast_Myoepithelial_Cells	ES_I3_Cell_Line
Fetal_Intestine_Small	Brain_Germinal_Matrix
GM12878_Lymphoblastoid	Fetal_Brain_Female
NH_A_Astrocytes	GM12878_Lymphoblastoid
ES_WA7_Cell_Line	HUES64_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD34_Primary_Cells
ES_I3_Cell_Line	Neurosphere_Cultured_Cells_Cortex_Derived
