(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Flanking_Active_TSS
Enhancers	Enhancers
Flanking_Active_TSS	Flanking_Bivalent_TSS_Enh
Genic_enhancers	Weak_transcription
ZNF_genes_and_repeats	Bivalent_Enhancer
Bivalent_Enhancer	Bivalent_Poised_TSS
Active_TSS	Genic_enhancers
Bivalent_Poised_TSS	Active_TSS
Flanking_Bivalent_TSS_Enh	Transcr_at_gene_5_and_3
Repressed_PolyComb	Repressed_PolyComb
Heterochromatin	Weak_Repressed_PolyComb
Strong_transcription	Quiescent_Low
Weak_transcription	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Heterochromatin
