(New) Cell Type	(Old) Cell Type
Lung	Lung
HeLa_S3_Cervical_Carcinoma	Pancreas
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Esophagus
NH_A_Astrocytes	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Brain_Substantia_Nigra
Fetal_Brain_Female	GM12878_Lymphoblastoid
H1_Derived_Neuronal_Progenitor_Cultured_Cells	NH_A_Astrocytes
Aorta	Duodenum_Smooth_Muscle
Fetal_Stomach	HSMM_Skeletal_Muscle_Myoblasts
H9_Derived_Neuron_Cultured_Cells	Ovary
Breast_Myoepithelial_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Thymus	Brain_Cingulate_Gyrus
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD19_Primary_Cells_Peripheral_UW
Spleen	iPS_DF_19.11_Cell_Line
Fetal_Thymus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Esophagus	Right_Atrium
NHLF_Lung_Fibroblasts	NHLF_Lung_Fibroblasts
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Brain_Male
Fetal_Intestine_Large	H9_Cell_Line
Pancreas	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD34_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD34_Primary_Cells
Muscle_Satellite_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Gastric
iPS_DF_6.9_Cell_Line	Skeletal_Muscle_Male
H1_Derived_Mesenchymal_Stem_Cells	Spleen
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Colonic_Mucosa
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Fetal_Stomach
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
NHDF_Ad_Adult_Dermal_Fibroblasts	Brain_Inferior_Temporal_Lobe
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Rectal_Smooth_Muscle
HepG2_Hepatocellular_Carcinoma	Aorta
Colonic_Mucosa	Brain_Mid_Frontal_Lobe
HSMM_Skeletal_Muscle_Myoblasts	Skeletal_Muscle_Female
Fetal_Intestine_Small	Brain_Germinal_Matrix
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Left_Ventricle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD34_Cultured_Cells	Fetal_Thymus
Mobilized_CD34_Primary_Cells_Female	Rectal_Mucosa.Donor_29
Right_Ventricle	Thymus
Brain_Germinal_Matrix	Right_Ventricle
Gastric	Peripheral_Blood_Mononuclear_Primary_Cells
Brain_Mid_Frontal_Lobe	Adipose_Nuclei
iPS_15b_Cell_Line	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHEK_Epidermal_Keratinocytes	Fetal_Intestine_Small
Small_Intestine	Fetal_Placenta
HUES64_Cell_Line	Dnd41_TCell_Leukemia
Skeletal_Muscle_Male	Stomach_Smooth_Muscle
Pancreatic_Islets	Sigmoid_Colon
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Stomach_Mucosa
CD3_Primary_Cells_Cord_BI	Brain_Hippocampus_Middle
A549_EtOH_0.02pct_Lung_Carcinoma	iPS_DF_6.9_Cell_Line
Osteoblasts	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Stomach_Smooth_Muscle	CD56_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Duodenum_Mucosa
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	H1_Derived_Mesenchymal_Stem_Cells
HUES6_Cell_Line	CD15_Primary_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	iPS_15b_Cell_Line
CD34_Primary_Cells	Placenta_Amnion
Fetal_Brain_Male	Colon_Smooth_Muscle
Fetal_Lung	Fetal_Lung
ES_I3_Cell_Line	4star
H9_Cell_Line	Adult_Liver
CD15_Primary_Cells	Fetal_Muscle_Trunk
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Small_Intestine
Brain_Angular_Gyrus	HeLa_S3_Cervical_Carcinoma
Ovary	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Muscle_Leg	Neurosphere_Cultured_Cells_Cortex_Derived
CD14_Primary_Cells	Brain_Angular_Gyrus
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Monocytes_CD14pp_RO01746
CD56_Primary_Cells	H1_Cell_Line
CD4pp_CD25__Th_Primary_Cells	Fetal_Muscle_Leg
Fetal_Heart	A549_EtOH_0.02pct_Lung_Carcinoma
Rectal_Smooth_Muscle	CD14_Primary_Cells
IMR90_Cell_Line	Breast_Myoepithelial_Cells
Fetal_Adrenal_Gland	Brain_Anterior_Caudate
Left_Ventricle	Mobilized_CD34_Primary_Cells_Female
Placenta_Amnion	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD19_Primary_Cells_Cord_BI	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Skeletal_Muscle_Female	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD3_Primary_Cells_Peripheral_UW	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
HUES48_Cell_Line	Fetal_Brain_Female
Dnd41_TCell_Leukemia	HUES6_Cell_Line
Fetal_Kidney	Osteoblasts
Brain_Substantia_Nigra	Fetal_Intestine_Large
Brain_Cingulate_Gyrus	Pancreatic_Islets
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	HUES48_Cell_Line
Peripheral_Blood_Mononuclear_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
K562_Leukemia	Mobilized_CD34_Primary_Cells_Male
H1_Cell_Line	NHEK_Epidermal_Keratinocytes
iPS_18_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Monocytes_CD14pp_RO01746	Psoas_Muscle
Brain_Inferior_Temporal_Lobe	CD4_Naive_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	iPS_20b_Cell_Line
iPS_20b_Cell_Line	H9_Derived_Neuron_Cultured_Cells
Right_Atrium	ES_I3_Cell_Line
Fetal_Placenta	CD4pp_CD25__Th_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	IMR90_Cell_Line
Rectal_Mucosa.Donor_29	Rectal_Mucosa.Donor_31
Colon_Smooth_Muscle	Breast_vHMEC
Mobilized_CD34_Primary_Cells_Male	Muscle_Satellite_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	Fetal_Adrenal_Gland
Stomach_Mucosa	HMEC_Mammary_Epithelial
Sigmoid_Colon	CD3_Primary_Cells_Peripheral_UW
CD8_Naive_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Brain_Hippocampus_Middle	CD8_Naive_Primary_Cells
GM12878_Lymphoblastoid	CD8_Memory_Primary_Cells
HMEC_Mammary_Epithelial	Fetal_Kidney
Adipose_Nuclei	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUES64_Cell_Line
Duodenum_Mucosa	iPS_18_Cell_Line
Duodenum_Smooth_Muscle	CD19_Primary_Cells_Cord_BI
Brain_Anterior_Caudate	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Rectal_Mucosa.Donor_31	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD8_Memory_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Psoas_Muscle	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4_Memory_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Heart
ES_WA7_Cell_Line	HepG2_Hepatocellular_Carcinoma
Adult_Liver	CD3_Primary_Cells_Cord_BI
Fetal_Muscle_Trunk	CD4_Memory_Primary_Cells
iPS_DF_19.11_Cell_Line	H9_Derived_Neuronal_Progenitor_Cultured_Cells
4star	ES_WA7_Cell_Line
CD4_Naive_Primary_Cells	K562_Leukemia
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Breast_vHMEC	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
