(New) Cell Type	(Old) Cell Type
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Rectal_Mucosa.Donor_29	Adipose_Nuclei
Fetal_Brain_Female	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	HUVEC_Umbilical_Vein_Endothelial_Cells
Duodenum_Mucosa	Fetal_Adrenal_Gland
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD34_Primary_Cells
Esophagus	Neurosphere_Cultured_Cells_Cortex_Derived
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Mobilized_CD34_Primary_Cells_Male
Stomach_Smooth_Muscle	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Hippocampus_Middle	Mobilized_CD34_Primary_Cells_Female
Fetal_Muscle_Trunk	Placenta_Amnion
Brain_Inferior_Temporal_Lobe	Small_Intestine
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Muscle_Leg
Fetal_Stomach	CD4pp_CD25__Th_Primary_Cells
Stomach_Mucosa	CD19_Primary_Cells_Peripheral_UW
Fetal_Thymus	Fetal_Placenta
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD14_Primary_Cells
Fetal_Heart	CD56_Primary_Cells
CD15_Primary_Cells	Breast_vHMEC
4star	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Adult_Liver
Psoas_Muscle	Dnd41_TCell_Leukemia
Skeletal_Muscle_Male	Fetal_Stomach
Fetal_Placenta	Osteoblasts
Right_Atrium	CD34_Cultured_Cells
Thymus	Muscle_Satellite_Cultured_Cells
Brain_Germinal_Matrix	NHDF_Ad_Adult_Dermal_Fibroblasts
H1_Derived_Neuronal_Progenitor_Cultured_Cells	IMR90_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Thymus
Brain_Anterior_Caudate	Lung
CD8_Memory_Primary_Cells	Fetal_Muscle_Trunk
GM12878_Lymphoblastoid	Stomach_Mucosa
Fetal_Intestine_Large	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
iPS_20b_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
CD4_Naive_Primary_Cells	NH_A_Astrocytes
Colonic_Mucosa	Sigmoid_Colon
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Neurosphere_Cultured_Cells_Cortex_Derived	CD15_Primary_Cells
Spleen	NHLF_Lung_Fibroblasts
Lung	HMEC_Mammary_Epithelial
HMEC_Mammary_Epithelial	CD19_Primary_Cells_Cord_BI
Duodenum_Smooth_Muscle	Right_Atrium
Right_Ventricle	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD56_Primary_Cells	Skeletal_Muscle_Female
NHLF_Lung_Fibroblasts	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Cingulate_Gyrus	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Lung
Fetal_Intestine_Small	CD8_Naive_Primary_Cells
Placenta_Amnion	CD3_Primary_Cells_Peripheral_UW
Breast_Myoepithelial_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
IMR90_Cell_Line	H9_Derived_Neuron_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Fetal_Adrenal_Gland	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	NHEK_Epidermal_Keratinocytes
Skeletal_Muscle_Female	Left_Ventricle
Brain_Mid_Frontal_Lobe	CD4_Memory_Primary_Cells
Rectal_Smooth_Muscle	Esophagus
Mobilized_CD34_Primary_Cells_Female	HSMM_Skeletal_Muscle_Myoblasts
Fetal_Muscle_Leg	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
H1_Cell_Line	Fetal_Intestine_Small
Adipose_Nuclei	Psoas_Muscle
iPS_15b_Cell_Line	Fetal_Intestine_Large
CD4_Memory_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD34_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
