(New) Cell Type	(Old) Cell Type
Mobilized_CD34_Primary_Cells_Female	Mobilized_CD34_Primary_Cells_Female
CD34_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
Neurosphere_Cultured_Cells_Cortex_Derived	Spleen
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD34_Primary_Cells
Colonic_Mucosa	H9_Cell_Line
CD4_Naive_Primary_Cells	CD34_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD8_Memory_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Intestine_Small	CD4pp_CD25__Th_Primary_Cells
Fetal_Intestine_Large	Placenta_Amnion
CD19_Primary_Cells_Cord_BI	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Right_Ventricle
iPS_DF_19.11_Cell_Line	Ovary
iPS_DF_6.9_Cell_Line	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Skeletal_Muscle_Male	Rectal_Smooth_Muscle
CD4_Memory_Primary_Cells	Adult_Liver
Skeletal_Muscle_Female	CD4_Memory_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Duodenum_Smooth_Muscle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
GM12878_Lymphoblastoid	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Fetal_Lung	Esophagus
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD8_Naive_Primary_Cells
Stomach_Smooth_Muscle	Colon_Smooth_Muscle
Fetal_Placenta	CD4_Naive_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	iPS_DF_6.9_Cell_Line
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Adipose_Nuclei	ES_I3_Cell_Line
Mobilized_CD34_Primary_Cells_Male	Lung
CD3_Primary_Cells_Cord_BI	CD3_Primary_Cells_Cord_BI
Fetal_Muscle_Trunk	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Colonic_Mucosa
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD8_Memory_Primary_Cells
Duodenum_Mucosa	Brain_Hippocampus_Middle
Peripheral_Blood_Mononuclear_Primary_Cells	HUES64_Cell_Line
Pancreas	iPS_DF_19.11_Cell_Line
IMR90_Cell_Line	Psoas_Muscle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Anterior_Caudate
Right_Atrium	Adipose_Nuclei
CD34_Cultured_Cells	Brain_Substantia_Nigra
CD8_Naive_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Gastric	HUES48_Cell_Line
H1_Cell_Line	HUES6_Cell_Line
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Thymus	CD19_Primary_Cells_Peripheral_UW
Breast_Myoepithelial_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	Left_Ventricle
Right_Ventricle	Neurosphere_Cultured_Cells_Cortex_Derived
H1_Derived_Mesenchymal_Stem_Cells	Brain_Mid_Frontal_Lobe
CD14_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
NHEK_Epidermal_Keratinocytes	Brain_Angular_Gyrus
Fetal_Heart	CD56_Primary_Cells
Rectal_Mucosa.Donor_29	HMEC_Mammary_Epithelial
CD15_Primary_Cells	HSMM_Skeletal_Muscle_Myoblasts
Rectal_Mucosa.Donor_31	Stomach_Smooth_Muscle
Fetal_Stomach	Duodenum_Mucosa
Brain_Mid_Frontal_Lobe	iPS_15b_Cell_Line
Stomach_Mucosa	4star
