(New) Cell Type	(Old) Cell Type
Mobilized_CD34_Primary_Cells_Female	Mobilized_CD34_Primary_Cells_Female
CD15_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
Dnd41_TCell_Leukemia	Small_Intestine
Stomach_Mucosa	CD34_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
iPS_20b_Cell_Line	CD15_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	CD8_Naive_Primary_Cells
GM12878_Lymphoblastoid	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	CD4_Memory_Primary_Cells
HUES48_Cell_Line	Rectal_Mucosa.Donor_29
CD14_Primary_Cells	CD56_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Rectal_Mucosa.Donor_31
CD19_Primary_Cells_Cord_BI	CD4pp_CD25__Th_Primary_Cells
Monocytes_CD14pp_RO01746	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4_Memory_Primary_Cells	CD8_Memory_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD34_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4_Naive_Primary_Cells
HUES64_Cell_Line	Colonic_Mucosa
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
CD34_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD8_Memory_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Fetal_Brain_Male	Placenta_Amnion
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Osteoblasts
CD3_Primary_Cells_Peripheral_UW	Stomach_Mucosa
Fetal_Heart	Right_Ventricle
Adult_Liver	Sigmoid_Colon
CD4_Naive_Primary_Cells	Rectal_Smooth_Muscle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Muscle_Trunk
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
iPS_18_Cell_Line	CD19_Primary_Cells_Cord_BI
CD3_Primary_Cells_Cord_BI	Muscle_Satellite_Cultured_Cells
CD8_Naive_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
Neurosphere_Cultured_Cells_Cortex_Derived	Colon_Smooth_Muscle
NHDF_Ad_Adult_Dermal_Fibroblasts	CD14_Primary_Cells
HepG2_Hepatocellular_Carcinoma	CD3_Primary_Cells_Cord_BI
Small_Intestine	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Breast_Myoepithelial_Cells	NH_A_Astrocytes
K562_Leukemia	Brain_Cingulate_Gyrus
Fetal_Brain_Female	Pancreas
CD56_Primary_Cells	Skeletal_Muscle_Female
A549_EtOH_0.02pct_Lung_Carcinoma	Brain_Angular_Gyrus
CD34_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
HUES6_Cell_Line	Gastric
Rectal_Smooth_Muscle	Duodenum_Mucosa
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Psoas_Muscle
HUVEC_Umbilical_Vein_Endothelial_Cells	Pancreatic_Islets
Colon_Smooth_Muscle	Brain_Mid_Frontal_Lobe
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Fetal_Muscle_Leg
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
HMEC_Mammary_Epithelial	NHLF_Lung_Fibroblasts
H1_Cell_Line	Thymus
Mobilized_CD34_Primary_Cells_Male	Ovary
Skeletal_Muscle_Male	Fetal_Heart
Adipose_Nuclei	Brain_Inferior_Temporal_Lobe
