(New) Cell Type	(Old) Cell Type
Mobilized_CD34_Primary_Cells_Male	Mobilized_CD34_Primary_Cells_Male
GM12878_Lymphoblastoid	Mobilized_CD34_Primary_Cells_Female
HeLa_S3_Cervical_Carcinoma	CD34_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD34_Cultured_Cells
NHLF_Lung_Fibroblasts	CD14_Primary_Cells
NH_A_Astrocytes	CD4pp_CD25__Th_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	Monocytes_CD14pp_RO01746
Osteoblasts	CD56_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD19_Primary_Cells_Cord_BI
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Fetal_Lung	Fetal_Thymus
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD19_Primary_Cells_Peripheral_UW
NHEK_Epidermal_Keratinocytes	Dnd41_TCell_Leukemia
Dnd41_TCell_Leukemia	CD4pp_CD25pp_CD127__Treg_Primary_Cells
HUES6_Cell_Line	CD3_Primary_Cells_Peripheral_UW
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Thymus
Colon_Smooth_Muscle	GM12878_Lymphoblastoid
ES_I3_Cell_Line	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
K562_Leukemia	K562_Leukemia
iPS_18_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
iPS_15b_Cell_Line	CD15_Primary_Cells
CD8_Memory_Primary_Cells	CD8_Memory_Primary_Cells
Adipose_Nuclei	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4_Naive_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD8_Naive_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Rectal_Mucosa.Donor_29
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Duodenum_Mucosa
HUES48_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	CD4_Memory_Primary_Cells
Muscle_Satellite_Cultured_Cells	Duodenum_Smooth_Muscle
Monocytes_CD14pp_RO01746	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4_Naive_Primary_Cells	Adipose_Nuclei
Fetal_Stomach	Stomach_Smooth_Muscle
A549_EtOH_0.02pct_Lung_Carcinoma	HeLa_S3_Cervical_Carcinoma
CD3_Primary_Cells_Cord_BI	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
IMR90_Cell_Line	Colonic_Mucosa
HUVEC_Umbilical_Vein_Endothelial_Cells	HepG2_Hepatocellular_Carcinoma
Brain_Hippocampus_Middle	Spleen
