(New) Chromatin State	(Old) Chromatin State
Enhancers	Enhancers
Genic_enhancers	Flanking_Active_TSS
Transcr_at_gene_5_and_3	Weak_transcription
ZNF_genes_and_repeats	Genic_enhancers
Repressed_PolyComb	Transcr_at_gene_5_and_3
Flanking_Active_TSS	Bivalent_Enhancer
Active_TSS	Active_TSS
Heterochromatin	Weak_Repressed_PolyComb
Bivalent_Enhancer	Repressed_PolyComb
Strong_transcription	Flanking_Bivalent_TSS_Enh
Bivalent_Poised_TSS	Quiescent_Low
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Weak_transcription	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Heterochromatin
