(New) Cell Type	(Old) Cell Type
Muscle_Satellite_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
HUES64_Cell_Line	Osteoblasts
iPS_18_Cell_Line	NHLF_Lung_Fibroblasts
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Osteoblasts	NH_A_Astrocytes
HUES48_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
iPS_15b_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Dnd41_TCell_Leukemia	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
K562_Leukemia	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Lung	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
NHDF_Ad_Adult_Dermal_Fibroblasts	IMR90_Cell_Line
HeLa_S3_Cervical_Carcinoma	A549_EtOH_0.02pct_Lung_Carcinoma
HUVEC_Umbilical_Vein_Endothelial_Cells	NHEK_Epidermal_Keratinocytes
GM12878_Lymphoblastoid	HeLa_S3_Cervical_Carcinoma
CD3_Primary_Cells_Cord_BI	HMEC_Mammary_Epithelial
NHLF_Lung_Fibroblasts	HUVEC_Umbilical_Vein_Endothelial_Cells
NH_A_Astrocytes	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Mobilized_CD34_Primary_Cells_Male	Breast_vHMEC
HSMM_Skeletal_Muscle_Myoblasts	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Breast_vHMEC	Stomach_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Duodenum_Smooth_Muscle
Colon_Smooth_Muscle	Rectal_Smooth_Muscle
H9_Derived_Neuron_Cultured_Cells	Skeletal_Muscle_Male
ES_I3_Cell_Line	Adipose_Nuclei
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Skeletal_Muscle_Female
A549_EtOH_0.02pct_Lung_Carcinoma	Colon_Smooth_Muscle
CD8_Memory_Primary_Cells	Aorta
HepG2_Hepatocellular_Carcinoma	Fetal_Stomach
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Rectal_Mucosa.Donor_29
CD4_Naive_Primary_Cells	Right_Atrium
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Muscle_Leg
Right_Atrium	Fetal_Adrenal_Gland
Fetal_Heart	Breast_Myoepithelial_Cells
HMEC_Mammary_Epithelial	Fetal_Lung
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Colonic_Mucosa
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Duodenum_Mucosa
HUES6_Cell_Line	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD4_Memory_Primary_Cells	ES_I3_Cell_Line
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Brain_Mid_Frontal_Lobe
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Fetal_Kidney
Adult_Liver	Placenta_Amnion
Fetal_Brain_Male	Brain_Anterior_Caudate
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD8_Naive_Primary_Cells	K562_Leukemia
Monocytes_CD14pp_RO01746	Rectal_Mucosa.Donor_31
iPS_20b_Cell_Line	HepG2_Hepatocellular_Carcinoma
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Intestine_Small
Stomach_Mucosa	Brain_Hippocampus_Middle
Brain_Hippocampus_Middle	Monocytes_CD14pp_RO01746
Neurosphere_Cultured_Cells_Cortex_Derived	Fetal_Muscle_Trunk
CD19_Primary_Cells_Cord_BI	Small_Intestine
Adipose_Nuclei	CD34_Cultured_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Psoas_Muscle
Breast_Myoepithelial_Cells	Mobilized_CD34_Primary_Cells_Male
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	GM12878_Lymphoblastoid
Brain_Substantia_Nigra	Sigmoid_Colon
CD34_Primary_Cells	Brain_Inferior_Temporal_Lobe
Rectal_Smooth_Muscle	HUES64_Cell_Line
Fetal_Intestine_Small	Stomach_Mucosa
Skeletal_Muscle_Female	Brain_Cingulate_Gyrus
Pancreatic_Islets	Dnd41_TCell_Leukemia
Brain_Inferior_Temporal_Lobe	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Mobilized_CD34_Primary_Cells_Female	HUES6_Cell_Line
IMR90_Cell_Line	Ovary
CD4pp_CD25pp_CD127__Treg_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Fetal_Muscle_Trunk	Fetal_Intestine_Large
CD15_Primary_Cells	iPS_20b_Cell_Line
Fetal_Adrenal_Gland	Brain_Angular_Gyrus
Fetal_Stomach	Neurosphere_Cultured_Cells_Cortex_Derived
Brain_Anterior_Caudate	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Brain_Cingulate_Gyrus	Left_Ventricle
Brain_Germinal_Matrix	Mobilized_CD34_Primary_Cells_Female
Skeletal_Muscle_Male	Fetal_Placenta
Rectal_Mucosa.Donor_31	Thymus
CD4pp_CD25__Th_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Fetal_Muscle_Leg	Brain_Substantia_Nigra
Brain_Angular_Gyrus	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD34_Cultured_Cells	Esophagus
Rectal_Mucosa.Donor_29	Right_Ventricle
Brain_Mid_Frontal_Lobe	Fetal_Thymus
Duodenum_Smooth_Muscle	HUES48_Cell_Line
H1_Cell_Line	ES_WA7_Cell_Line
Stomach_Smooth_Muscle	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Duodenum_Mucosa	Peripheral_Blood_Mononuclear_Primary_Cells
CD3_Primary_Cells_Peripheral_UW	CD14_Primary_Cells
CD56_Primary_Cells	Lung
Fetal_Kidney	Pancreatic_Islets
CD19_Primary_Cells_Peripheral_UW	iPS_18_Cell_Line
Peripheral_Blood_Mononuclear_Primary_Cells	iPS_15b_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Fetal_Brain_Female	CD19_Primary_Cells_Cord_BI
4star	Fetal_Heart
Fetal_Intestine_Large	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Small_Intestine	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Thymus	CD34_Primary_Cells
CD14_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
Thymus	CD4pp_CD25__Th_Primary_Cells
Sigmoid_Colon	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Psoas_Muscle	Fetal_Brain_Female
Left_Ventricle	Brain_Germinal_Matrix
Right_Ventricle	H1_Cell_Line
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	CD8_Memory_Primary_Cells
iPS_DF_19.11_Cell_Line	Adult_Liver
Ovary	H9_Cell_Line
Fetal_Placenta	CD15_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD56_Primary_Cells
Placenta_Amnion	CD19_Primary_Cells_Peripheral_UW
Colonic_Mucosa	CD4_Naive_Primary_Cells
H9_Cell_Line	CD4_Memory_Primary_Cells
ES_WA7_Cell_Line	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
