(New) Cell Type	(Old) Cell Type
Muscle_Satellite_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Fetal_Adrenal_Gland	Osteoblasts
CD34_Cultured_Cells	NH_A_Astrocytes
K562_Leukemia	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD8_Naive_Primary_Cells	NHLF_Lung_Fibroblasts
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adult_Liver	HSMM_Skeletal_Muscle_Myoblasts
Neurosphere_Cultured_Cells_Cortex_Derived	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	NHDF_Ad_Adult_Dermal_Fibroblasts
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD3_Primary_Cells_Cord_BI	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Fetal_Intestine_Small	HMEC_Mammary_Epithelial
CD8_Memory_Primary_Cells	IMR90_Cell_Line
Fetal_Muscle_Leg	HUVEC_Umbilical_Vein_Endothelial_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Rectal_Smooth_Muscle
Mobilized_CD34_Primary_Cells_Female	Duodenum_Smooth_Muscle
A549_EtOH_0.02pct_Lung_Carcinoma	Breast_Myoepithelial_Cells
HMEC_Mammary_Epithelial	NHEK_Epidermal_Keratinocytes
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	HeLa_S3_Cervical_Carcinoma
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Colon_Smooth_Muscle
NHEK_Epidermal_Keratinocytes	Adipose_Nuclei
Breast_vHMEC	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD15_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD4_Memory_Primary_Cells	Stomach_Smooth_Muscle
CD4_Naive_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD19_Primary_Cells_Cord_BI	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
GM12878_Lymphoblastoid	Placenta_Amnion
HepG2_Hepatocellular_Carcinoma	Duodenum_Mucosa
NHDF_Ad_Adult_Dermal_Fibroblasts	Colonic_Mucosa
Fetal_Intestine_Large	Small_Intestine
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Rectal_Mucosa.Donor_29
H9_Derived_Neuron_Cultured_Cells	Breast_vHMEC
