(New) Cell Type	(Old) Cell Type
Muscle_Satellite_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Fetal_Lung	Colonic_Mucosa
HMEC_Mammary_Epithelial	Small_Intestine
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Placenta_Amnion
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Brain_Male
GM12878_Lymphoblastoid	Rectal_Smooth_Muscle
CD4_Naive_Primary_Cells	Fetal_Kidney
Brain_Hippocampus_Middle	NHLF_Lung_Fibroblasts
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	NH_A_Astrocytes
Brain_Anterior_Caudate	Colon_Smooth_Muscle
CD34_Primary_Cells	Brain_Mid_Frontal_Lobe
Colon_Smooth_Muscle	Psoas_Muscle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Skeletal_Muscle_Male	Brain_Substantia_Nigra
NHEK_Epidermal_Keratinocytes	NHDF_Ad_Adult_Dermal_Fibroblasts
HepG2_Hepatocellular_Carcinoma	Brain_Angular_Gyrus
Monocytes_CD14pp_RO01746	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Duodenum_Smooth_Muscle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
IMR90_Cell_Line	Esophagus
Skeletal_Muscle_Female	Fetal_Heart
NH_A_Astrocytes	Brain_Cingulate_Gyrus
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Right_Ventricle
Osteoblasts	HMEC_Mammary_Epithelial
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Gastric
HSMM_Skeletal_Muscle_Myoblasts	Aorta
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Ovary
Mobilized_CD34_Primary_Cells_Male	ES_I3_Cell_Line
NHDF_Ad_Adult_Dermal_Fibroblasts	Pancreas
Stomach_Smooth_Muscle	HUVEC_Umbilical_Vein_Endothelial_Cells
Fetal_Brain_Female	iPS_DF_6.9_Cell_Line
HUES6_Cell_Line	CD8_Memory_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Osteoblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Sigmoid_Colon	CD4_Memory_Primary_Cells
Brain_Inferior_Temporal_Lobe	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Muscle_Leg	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Left_Ventricle	HSMM_Skeletal_Muscle_Myoblasts
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Inferior_Temporal_Lobe
Brain_Germinal_Matrix	Fetal_Adrenal_Gland
Neurosphere_Cultured_Cells_Cortex_Derived	Fetal_Placenta
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD8_Naive_Primary_Cells
CD14_Primary_Cells	Fetal_Muscle_Trunk
K562_Leukemia	IMR90_Cell_Line
H1_Derived_Mesenchymal_Stem_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Smooth_Muscle
A549_EtOH_0.02pct_Lung_Carcinoma	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Adipose_Nuclei
H1_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Brain_Cingulate_Gyrus	HUES64_Cell_Line
Fetal_Adrenal_Gland	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Placenta	Brain_Hippocampus_Middle
CD19_Primary_Cells_Cord_BI	Fetal_Muscle_Leg
Mobilized_CD34_Primary_Cells_Female	Rectal_Mucosa.Donor_29
Breast_Myoepithelial_Cells	HUES48_Cell_Line
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD14_Primary_Cells
CD15_Primary_Cells	H9_Cell_Line
NHLF_Lung_Fibroblasts	CD15_Primary_Cells
Adipose_Nuclei	Brain_Anterior_Caudate
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Skeletal_Muscle_Female
Placenta_Amnion	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Duodenum_Mucosa	Left_Ventricle
Fetal_Muscle_Trunk	CD4_Naive_Primary_Cells
H9_Cell_Line	Rectal_Mucosa.Donor_31
CD3_Primary_Cells_Cord_BI	Fetal_Lung
