(New) Cell Type	(Old) Cell Type
NHDF_Ad_Adult_Dermal_Fibroblasts	NHDF_Ad_Adult_Dermal_Fibroblasts
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Osteoblasts
Fetal_Lung	NHLF_Lung_Fibroblasts
Muscle_Satellite_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
K562_Leukemia	Muscle_Satellite_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	HUVEC_Umbilical_Vein_Endothelial_Cells
Osteoblasts	Stomach_Mucosa
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NH_A_Astrocytes
Pancreatic_Islets	Small_Intestine
HUES64_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Breast_vHMEC	Placenta_Amnion
HUVEC_Umbilical_Vein_Endothelial_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Mucosa.Donor_29
ES_I3_Cell_Line	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD4_Memory_Primary_Cells
HUES48_Cell_Line	CD8_Memory_Primary_Cells
iPS_18_Cell_Line	Rectal_Mucosa.Donor_31
CD4_Memory_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
A549_EtOH_0.02pct_Lung_Carcinoma	HMEC_Mammary_Epithelial
Duodenum_Smooth_Muscle	CD8_Naive_Primary_Cells
CD8_Memory_Primary_Cells	Right_Ventricle
Dnd41_TCell_Leukemia	Colonic_Mucosa
iPS_15b_Cell_Line	CD4_Naive_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Stomach_Mucosa	Rectal_Smooth_Muscle
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Colon_Smooth_Muscle
CD3_Primary_Cells_Cord_BI	HSMM_Skeletal_Muscle_Myoblasts
Rectal_Mucosa.Donor_31	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4_Naive_Primary_Cells	HeLa_S3_Cervical_Carcinoma
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Mid_Frontal_Lobe
Colon_Smooth_Muscle	Brain_Cingulate_Gyrus
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Brain_Anterior_Caudate	Skeletal_Muscle_Female
Fetal_Kidney	Brain_Angular_Gyrus
Skeletal_Muscle_Female	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HeLa_S3_Cervical_Carcinoma	NHEK_Epidermal_Keratinocytes
NHEK_Epidermal_Keratinocytes	CD3_Primary_Cells_Peripheral_UW
GM12878_Lymphoblastoid	Sigmoid_Colon
Rectal_Mucosa.Donor_29	Fetal_Heart
Fetal_Heart	Brain_Substantia_Nigra
H9_Derived_Neuron_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
Breast_Myoepithelial_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD8_Naive_Primary_Cells	Psoas_Muscle
HSMM_Skeletal_Muscle_Myoblasts	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NH_A_Astrocytes	Brain_Inferior_Temporal_Lobe
HMEC_Mammary_Epithelial	CD56_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Anterior_Caudate
Small_Intestine	Pancreas
Brain_Inferior_Temporal_Lobe	Brain_Hippocampus_Middle
CD34_Primary_Cells	Gastric
NHLF_Lung_Fibroblasts	CD15_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Duodenum_Mucosa
Fetal_Brain_Male	HepG2_Hepatocellular_Carcinoma
CD4pp_CD25__Th_Primary_Cells	Pancreatic_Islets
Fetal_Muscle_Trunk	Fetal_Muscle_Trunk
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Skeletal_Muscle_Male
Adult_Liver	Stomach_Smooth_Muscle
iPS_20b_Cell_Line	Fetal_Kidney
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Left_Ventricle
HUES6_Cell_Line	Fetal_Lung
Mobilized_CD34_Primary_Cells_Male	Ovary
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Brain_Male
CD19_Primary_Cells_Cord_BI	K562_Leukemia
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Duodenum_Smooth_Muscle
Brain_Angular_Gyrus	Fetal_Placenta
Stomach_Smooth_Muscle	CD19_Primary_Cells_Peripheral_UW
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Right_Atrium
Brain_Hippocampus_Middle	A549_EtOH_0.02pct_Lung_Carcinoma
Brain_Cingulate_Gyrus	Breast_vHMEC
Brain_Substantia_Nigra	IMR90_Cell_Line
Brain_Mid_Frontal_Lobe	ES_WA7_Cell_Line
Monocytes_CD14pp_RO01746	CD3_Primary_Cells_Cord_BI
Rectal_Smooth_Muscle	Adipose_Nuclei
CD3_Primary_Cells_Peripheral_UW	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Mobilized_CD34_Primary_Cells_Female	Aorta
CD15_Primary_Cells	CD19_Primary_Cells_Cord_BI
Fetal_Intestine_Small	Thymus
Adipose_Nuclei	iPS_DF_6.9_Cell_Line
Duodenum_Mucosa	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Neurosphere_Cultured_Cells_Cortex_Derived	Fetal_Adrenal_Gland
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Esophagus
Fetal_Muscle_Leg	Adult_Liver
CD34_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Brain_Germinal_Matrix	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Right_Atrium	Spleen
Skeletal_Muscle_Male	Monocytes_CD14pp_RO01746
IMR90_Cell_Line	Fetal_Muscle_Leg
Fetal_Brain_Female	CD34_Cultured_Cells
Fetal_Adrenal_Gland	Dnd41_TCell_Leukemia
CD19_Primary_Cells_Peripheral_UW	H1_Derived_Neuronal_Progenitor_Cultured_Cells
H1_Cell_Line	Neurosphere_Cultured_Cells_Cortex_Derived
CD56_Primary_Cells	iPS_15b_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
4star	Fetal_Thymus
Fetal_Stomach	CD34_Primary_Cells
Psoas_Muscle	H9_Derived_Neuron_Cultured_Cells
Fetal_Intestine_Large	Brain_Germinal_Matrix
CD14_Primary_Cells	Fetal_Intestine_Large
Peripheral_Blood_Mononuclear_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Thymus	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Sigmoid_Colon	ES_I3_Cell_Line
Thymus	Lung
Left_Ventricle	Mobilized_CD34_Primary_Cells_Female
Right_Ventricle	H9_Cell_Line
