(New) Chromatin State	(Old) Chromatin State
Quiescent_Low	Heterochromatin
Weak_Repressed_PolyComb	Quiescent_Low
Weak_transcription	Weak_transcription
Strong_transcription	Enhancers
Heterochromatin	Weak_Repressed_PolyComb
Repressed_PolyComb	ZNF_genes_and_repeats
ZNF_genes_and_repeats	Strong_transcription
Enhancers	Repressed_PolyComb
Genic_enhancers	Active_TSS
Transcr_at_gene_5_and_3	Bivalent_Enhancer
Active_TSS	Genic_enhancers
Flanking_Active_TSS	Flanking_Active_TSS
Bivalent_Enhancer	Transcr_at_gene_5_and_3
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Flanking_Bivalent_TSS_Enh	Flanking_Bivalent_TSS_Enh
