(New) Chromatin State	(Old) Chromatin State
Strong_transcription	Weak_transcription
Repressed_PolyComb	Strong_transcription
Heterochromatin	Genic_enhancers
Weak_transcription	Transcr_at_gene_5_and_3
Weak_Repressed_PolyComb	ZNF_genes_and_repeats
ZNF_genes_and_repeats	Enhancers
Active_TSS	Quiescent_Low
Genic_enhancers	Flanking_Active_TSS
Enhancers	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Flanking_Bivalent_TSS_Enh
Flanking_Active_TSS	Bivalent_Poised_TSS
Bivalent_Poised_TSS	Repressed_PolyComb
Bivalent_Enhancer	Active_TSS
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Quiescent_Low	Heterochromatin
