(New) Cell Type	(Old) Cell Type
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Muscle_Satellite_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Neurosphere_Cultured_Cells_Cortex_Derived
NHLF_Lung_Fibroblasts	Brain_Germinal_Matrix
Duodenum_Mucosa	Brain_Anterior_Caudate
GM12878_Lymphoblastoid	Brain_Angular_Gyrus
CD19_Primary_Cells_Cord_BI	Brain_Substantia_Nigra
NH_A_Astrocytes	Brain_Hippocampus_Middle
Monocytes_CD14pp_RO01746	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Germinal_Matrix	Brain_Inferior_Temporal_Lobe
Rectal_Mucosa.Donor_31	Spleen
HUVEC_Umbilical_Vein_Endothelial_Cells	Ovary
Brain_Cingulate_Gyrus	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	iPS_DF_19.11_Cell_Line
Brain_Anterior_Caudate	Psoas_Muscle
iPS_DF_6.9_Cell_Line	Esophagus
Brain_Angular_Gyrus	Colon_Smooth_Muscle
IMR90_Cell_Line	Brain_Mid_Frontal_Lobe
CD3_Primary_Cells_Cord_BI	Right_Ventricle
Thymus	H9_Cell_Line
Colon_Smooth_Muscle	Placenta_Amnion
HUES6_Cell_Line	Brain_Cingulate_Gyrus
Ovary	Duodenum_Smooth_Muscle
Brain_Substantia_Nigra	4star
Gastric	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	iPS_DF_6.9_Cell_Line
Brain_Inferior_Temporal_Lobe	Adult_Liver
Dnd41_TCell_Leukemia	Left_Ventricle
CD34_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
4star	Rectal_Smooth_Muscle
Rectal_Mucosa.Donor_29	Fetal_Brain_Female
ES_WA7_Cell_Line	Fetal_Heart
Stomach_Smooth_Muscle	Lung
H1_Cell_Line	H1_Cell_Line
Brain_Hippocampus_Middle	Fetal_Brain_Male
