(New) Cell Type	(Old) Cell Type
Osteoblasts	Osteoblasts
Rectal_Mucosa.Donor_31	CD4pp_CD25__Th_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD34_Primary_Cells
NH_A_Astrocytes	Adipose_Nuclei
Colonic_Mucosa	HUVEC_Umbilical_Vein_Endothelial_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Mobilized_CD34_Primary_Cells_Female
Adult_Liver	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Skeletal_Muscle_Male	Mobilized_CD34_Primary_Cells_Male
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD19_Primary_Cells_Cord_BI
iPS_15b_Cell_Line	CD19_Primary_Cells_Peripheral_UW
iPS_DF_19.11_Cell_Line	CD34_Cultured_Cells
iPS_20b_Cell_Line	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Placenta	Adult_Liver
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD14_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD56_Primary_Cells
Duodenum_Mucosa	Fetal_Adrenal_Gland
Fetal_Muscle_Trunk	Skeletal_Muscle_Female
HMEC_Mammary_Epithelial	Small_Intestine
Fetal_Heart	Fetal_Placenta
Muscle_Satellite_Cultured_Cells	Placenta_Amnion
H9_Derived_Neuron_Cultured_Cells	Fetal_Muscle_Leg
CD3_Primary_Cells_Cord_BI	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Right_Atrium	Dnd41_TCell_Leukemia
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Peripheral_Blood_Mononuclear_Primary_Cells
HUES6_Cell_Line	Breast_vHMEC
Fetal_Thymus	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Spleen	CD15_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
HUES48_Cell_Line	Stomach_Mucosa
CD3_Primary_Cells_Peripheral_UW	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Brain_Inferior_Temporal_Lobe	Fetal_Stomach
Fetal_Brain_Female	Right_Atrium
Rectal_Smooth_Muscle	Muscle_Satellite_Cultured_Cells
CD56_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
Esophagus	Fetal_Thymus
Right_Ventricle	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Hippocampus_Middle	IMR90_Cell_Line
Thymus	Sigmoid_Colon
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD8_Naive_Primary_Cells
Lung	NH_A_Astrocytes
Brain_Cingulate_Gyrus	NHDF_Ad_Adult_Dermal_Fibroblasts
HepG2_Hepatocellular_Carcinoma	Lung
Fetal_Intestine_Small	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Brain_Germinal_Matrix	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Fetal_Muscle_Leg	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
iPS_18_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Monocytes_CD14pp_RO01746	Fetal_Muscle_Trunk
Fetal_Stomach	NHEK_Epidermal_Keratinocytes
Psoas_Muscle	Fetal_Lung
Brain_Anterior_Caudate	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Mid_Frontal_Lobe	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
4star	CD4_Memory_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	NHLF_Lung_Fibroblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Fetal_Intestine_Large
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Fetal_Intestine_Small
Fetal_Lung	Monocytes_CD14pp_RO01746
Fetal_Adrenal_Gland	HSMM_Skeletal_Muscle_Myoblasts
H1_Derived_Mesenchymal_Stem_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD8_Memory_Primary_Cells	HMEC_Mammary_Epithelial
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Esophagus
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Left_Ventricle
CD34_Cultured_Cells	Rectal_Mucosa.Donor_31
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Fetal_Heart
Stomach_Mucosa	H9_Derived_Neuron_Cultured_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	CD8_Memory_Primary_Cells
Placenta_Amnion	iPS_DF_19.11_Cell_Line
H9_Cell_Line	CD4_Naive_Primary_Cells
Duodenum_Smooth_Muscle	Colon_Smooth_Muscle
Stomach_Smooth_Muscle	Fetal_Kidney
Neurosphere_Cultured_Cells_Cortex_Derived	Thymus
NHEK_Epidermal_Keratinocytes	Brain_Germinal_Matrix
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Colonic_Mucosa
H1_Cell_Line	iPS_DF_6.9_Cell_Line
Rectal_Mucosa.Donor_29	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HeLa_S3_Cervical_Carcinoma	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Fetal_Intestine_Large	CD3_Primary_Cells_Cord_BI
CD4_Naive_Primary_Cells	Skeletal_Muscle_Male
Breast_Myoepithelial_Cells	H1_Derived_Mesenchymal_Stem_Cells
Brain_Substantia_Nigra	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Angular_Gyrus	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Skeletal_Muscle_Female	Psoas_Muscle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Adipose_Nuclei	Spleen
CD19_Primary_Cells_Peripheral_UW	Fetal_Brain_Male
Dnd41_TCell_Leukemia	Pancreas
NHLF_Lung_Fibroblasts	4star
HUES64_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD15_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Pancreas	H1_Cell_Line
IMR90_Cell_Line	Duodenum_Mucosa
Mobilized_CD34_Primary_Cells_Female	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Duodenum_Smooth_Muscle
ES_I3_Cell_Line	Right_Ventricle
Sigmoid_Colon	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
A549_EtOH_0.02pct_Lung_Carcinoma	Breast_Myoepithelial_Cells
Mobilized_CD34_Primary_Cells_Male	Gastric
CD14_Primary_Cells	Rectal_Smooth_Muscle
K562_Leukemia	Rectal_Mucosa.Donor_29
Pancreatic_Islets	Brain_Substantia_Nigra
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Brain_Female
CD8_Naive_Primary_Cells	Ovary
CD4pp_CD25__Th_Primary_Cells	Brain_Cingulate_Gyrus
Colon_Smooth_Muscle	Stomach_Smooth_Muscle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	HepG2_Hepatocellular_Carcinoma
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	iPS_18_Cell_Line
Left_Ventricle	Brain_Hippocampus_Middle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Angular_Gyrus
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Aorta
CD4_Memory_Primary_Cells	Brain_Mid_Frontal_Lobe
HSMM_Skeletal_Muscle_Myoblasts	Brain_Inferior_Temporal_Lobe
Fetal_Brain_Male	GM12878_Lymphoblastoid
iPS_DF_6.9_Cell_Line	K562_Leukemia
CD19_Primary_Cells_Cord_BI	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HUES48_Cell_Line
Gastric	HUES64_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Anterior_Caudate
CD34_Primary_Cells	H9_Cell_Line
Ovary	ES_WA7_Cell_Line
GM12878_Lymphoblastoid	HUES6_Cell_Line
