(New) Cell Type	(Old) Cell Type
Osteoblasts	Osteoblasts
iPS_18_Cell_Line	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_15b_Cell_Line	Muscle_Satellite_Cultured_Cells
Muscle_Satellite_Cultured_Cells	NHLF_Lung_Fibroblasts
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NH_A_Astrocytes
HUES48_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUES64_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
HeLa_S3_Cervical_Carcinoma	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
K562_Leukemia	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Dnd41_TCell_Leukemia	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Lung	IMR90_Cell_Line
NHEK_Epidermal_Keratinocytes	A549_EtOH_0.02pct_Lung_Carcinoma
NHLF_Lung_Fibroblasts	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
GM12878_Lymphoblastoid	NHEK_Epidermal_Keratinocytes
HUVEC_Umbilical_Vein_Endothelial_Cells	HeLa_S3_Cervical_Carcinoma
NHDF_Ad_Adult_Dermal_Fibroblasts	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Colon_Smooth_Muscle	HMEC_Mammary_Epithelial
NH_A_Astrocytes	HUVEC_Umbilical_Vein_Endothelial_Cells
ES_I3_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Breast_vHMEC
Breast_vHMEC	Duodenum_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
HSMM_Skeletal_Muscle_Myoblasts	Stomach_Smooth_Muscle
CD3_Primary_Cells_Cord_BI	Rectal_Smooth_Muscle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Adipose_Nuclei
CD8_Memory_Primary_Cells	Colon_Smooth_Muscle
Fetal_Heart	Skeletal_Muscle_Male
H9_Derived_Neuron_Cultured_Cells	Aorta
CD4_Naive_Primary_Cells	Skeletal_Muscle_Female
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Fetal_Stomach
A549_EtOH_0.02pct_Lung_Carcinoma	H1_Derived_Mesenchymal_Stem_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Lung
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Rectal_Mucosa.Donor_29
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Right_Atrium
Right_Atrium	Breast_Myoepithelial_Cells
HUES6_Cell_Line	Fetal_Adrenal_Gland
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Fetal_Kidney
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
iPS_20b_Cell_Line	Duodenum_Mucosa
HMEC_Mammary_Epithelial	Fetal_Muscle_Leg
HepG2_Hepatocellular_Carcinoma	K562_Leukemia
Fetal_Brain_Male	ES_I3_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HepG2_Hepatocellular_Carcinoma
CD4_Memory_Primary_Cells	Colonic_Mucosa
Monocytes_CD14pp_RO01746	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Anterior_Caudate
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Brain_Mid_Frontal_Lobe
Brain_Hippocampus_Middle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Hippocampus_Middle
Stomach_Mucosa	Placenta_Amnion
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Rectal_Mucosa.Donor_31
Brain_Substantia_Nigra	Fetal_Intestine_Small
Adult_Liver	Monocytes_CD14pp_RO01746
CD8_Naive_Primary_Cells	GM12878_Lymphoblastoid
Rectal_Smooth_Muscle	Small_Intestine
Adipose_Nuclei	CD34_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	HUES64_Cell_Line
Brain_Inferior_Temporal_Lobe	Ovary
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
CD19_Primary_Cells_Cord_BI	Sigmoid_Colon
Skeletal_Muscle_Female	H9_Derived_Neuron_Cultured_Cells
CD34_Primary_Cells	Dnd41_TCell_Leukemia
Brain_Cingulate_Gyrus	iPS_20b_Cell_Line
Brain_Anterior_Caudate	Fetal_Placenta
Fetal_Stomach	Stomach_Mucosa
IMR90_Cell_Line	HUES6_Cell_Line
Brain_Germinal_Matrix	Fetal_Muscle_Trunk
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Pancreatic_Islets	Brain_Inferior_Temporal_Lobe
Brain_Angular_Gyrus	Brain_Cingulate_Gyrus
Skeletal_Muscle_Male	Psoas_Muscle
Breast_Myoepithelial_Cells	Brain_Angular_Gyrus
Rectal_Mucosa.Donor_31	Neurosphere_Cultured_Cells_Cortex_Derived
Brain_Mid_Frontal_Lobe	Fetal_Intestine_Large
Mobilized_CD34_Primary_Cells_Female	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Mobilized_CD34_Primary_Cells_Female
Fetal_Intestine_Small	Left_Ventricle
Stomach_Smooth_Muscle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Fetal_Muscle_Trunk	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD15_Primary_Cells	Pancreatic_Islets
Duodenum_Smooth_Muscle	Right_Ventricle
Fetal_Adrenal_Gland	Fetal_Thymus
CD34_Cultured_Cells	HUES48_Cell_Line
Rectal_Mucosa.Donor_29	Brain_Substantia_Nigra
CD4pp_CD25__Th_Primary_Cells	Thymus
H1_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Muscle_Leg	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Duodenum_Mucosa	iPS_18_Cell_Line
CD3_Primary_Cells_Peripheral_UW	Esophagus
CD56_Primary_Cells	Fetal_Heart
Peripheral_Blood_Mononuclear_Primary_Cells	ES_WA7_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	iPS_15b_Cell_Line
Fetal_Kidney	Lung
Fetal_Brain_Female	CD14_Primary_Cells
4star	CD3_Primary_Cells_Cord_BI
CD19_Primary_Cells_Peripheral_UW	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Small_Intestine	CD19_Primary_Cells_Cord_BI
Fetal_Thymus	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Fetal_Intestine_Large	CD34_Primary_Cells
Thymus	CD3_Primary_Cells_Peripheral_UW
Sigmoid_Colon	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD14_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
Right_Ventricle	CD8_Memory_Primary_Cells
Psoas_Muscle	H1_Cell_Line
Left_Ventricle	H9_Cell_Line
Ovary	Fetal_Brain_Female
iPS_DF_19.11_Cell_Line	Brain_Germinal_Matrix
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Adult_Liver
Fetal_Placenta	CD15_Primary_Cells
