(New) Cell Type	(Old) Cell Type
Osteoblasts	Osteoblasts
CD4_Memory_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Ovary	NHDF_Ad_Adult_Dermal_Fibroblasts
CD4_Naive_Primary_Cells	NHLF_Lung_Fibroblasts
Brain_Substantia_Nigra	Muscle_Satellite_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Anterior_Caudate	HSMM_Skeletal_Muscle_Myoblasts
CD8_Memory_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Placenta_Amnion	NH_A_Astrocytes
Rectal_Smooth_Muscle	IMR90_Cell_Line
Thymus	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Colon_Smooth_Muscle	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Left_Ventricle	HUVEC_Umbilical_Vein_Endothelial_Cells
Right_Atrium	Breast_vHMEC
Brain_Cingulate_Gyrus	Colon_Smooth_Muscle
Brain_Germinal_Matrix	NHEK_Epidermal_Keratinocytes
Duodenum_Smooth_Muscle	Rectal_Smooth_Muscle
GM12878_Lymphoblastoid	Fetal_Muscle_Leg
NH_A_Astrocytes	HMEC_Mammary_Epithelial
Gastric	Stomach_Mucosa
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD8_Naive_Primary_Cells
Small_Intestine	CD4_Naive_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4_Memory_Primary_Cells
Brain_Inferior_Temporal_Lobe	CD8_Memory_Primary_Cells
CD34_Primary_Cells	Duodenum_Smooth_Muscle
NHLF_Lung_Fibroblasts	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Adult_Liver	Fetal_Muscle_Trunk
CD19_Primary_Cells_Cord_BI	Fetal_Stomach
Rectal_Mucosa.Donor_29	Placenta_Amnion
4star	Fetal_Adrenal_Gland
A549_EtOH_0.02pct_Lung_Carcinoma	Rectal_Mucosa.Donor_29
Stomach_Smooth_Muscle	Rectal_Mucosa.Donor_31
NHEK_Epidermal_Keratinocytes	Fetal_Lung
Rectal_Mucosa.Donor_31	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Psoas_Muscle	Fetal_Intestine_Small
Duodenum_Mucosa	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Intestine_Large
Brain_Angular_Gyrus	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Brain_Mid_Frontal_Lobe	A549_EtOH_0.02pct_Lung_Carcinoma
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Heart
Fetal_Brain_Female	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
iPS_DF_6.9_Cell_Line	Duodenum_Mucosa
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Skeletal_Muscle_Female
Peripheral_Blood_Mononuclear_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
iPS_DF_19.11_Cell_Line	CD34_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	Left_Ventricle
Muscle_Satellite_Cultured_Cells	Adult_Liver
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Colonic_Mucosa
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Small_Intestine
CD3_Primary_Cells_Cord_BI	GM12878_Lymphoblastoid
Esophagus	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Hippocampus_Middle	Neurosphere_Cultured_Cells_Cortex_Derived
Monocytes_CD14pp_RO01746	CD19_Primary_Cells_Peripheral_UW
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD34_Primary_Cells
CD8_Naive_Primary_Cells	Fetal_Placenta
H1_Derived_Mesenchymal_Stem_Cells	Esophagus
IMR90_Cell_Line	Sigmoid_Colon
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Angular_Gyrus
Right_Ventricle	Psoas_Muscle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Brain_Substantia_Nigra
H1_Cell_Line	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Pancreas	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Sigmoid_Colon	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Intestine_Large	CD56_Primary_Cells
Lung	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Lung	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Adipose_Nuclei
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD3_Primary_Cells_Cord_BI
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD19_Primary_Cells_Cord_BI
Aorta	Mobilized_CD34_Primary_Cells_Female
Spleen	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Adipose_Nuclei	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Mid_Frontal_Lobe
Stomach_Mucosa	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Heart	Thymus
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Brain_Anterior_Caudate
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD14_Primary_Cells
CD15_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
K562_Leukemia	HUES64_Cell_Line
Fetal_Brain_Male	H9_Derived_Neuron_Cultured_Cells
Skeletal_Muscle_Female	Brain_Inferior_Temporal_Lobe
Colonic_Mucosa	Brain_Cingulate_Gyrus
Fetal_Intestine_Small	HUES6_Cell_Line
HeLa_S3_Cervical_Carcinoma	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	iPS_DF_6.9_Cell_Line
ES_WA7_Cell_Line	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
HUES6_Cell_Line	Ovary
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Thymus
Dnd41_TCell_Leukemia	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
H9_Cell_Line	Brain_Hippocampus_Middle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	iPS_DF_19.11_Cell_Line
Fetal_Placenta	Fetal_Kidney
CD34_Cultured_Cells	iPS_18_Cell_Line
Skeletal_Muscle_Male	ES_WA7_Cell_Line
HepG2_Hepatocellular_Carcinoma	Spleen
Breast_vHMEC	H1_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	ES_I3_Cell_Line
Neurosphere_Cultured_Cells_Cortex_Derived	Mobilized_CD34_Primary_Cells_Male
Breast_Myoepithelial_Cells	Stomach_Smooth_Muscle
Mobilized_CD34_Primary_Cells_Male	Fetal_Brain_Male
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	iPS_20b_Cell_Line
Fetal_Stomach	CD15_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
CD56_Primary_Cells	HUES48_Cell_Line
HMEC_Mammary_Epithelial	Fetal_Brain_Female
iPS_15b_Cell_Line	Monocytes_CD14pp_RO01746
Fetal_Muscle_Trunk	Brain_Germinal_Matrix
ES_I3_Cell_Line	Skeletal_Muscle_Male
iPS_20b_Cell_Line	4star
Fetal_Kidney	K562_Leukemia
HUES48_Cell_Line	Breast_Myoepithelial_Cells
Fetal_Thymus	H9_Cell_Line
Mobilized_CD34_Primary_Cells_Female	Right_Ventricle
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Lung
iPS_18_Cell_Line	Pancreatic_Islets
CD14_Primary_Cells	Right_Atrium
CD19_Primary_Cells_Peripheral_UW	iPS_15b_Cell_Line
HUES64_Cell_Line	Aorta
CD3_Primary_Cells_Peripheral_UW	Dnd41_TCell_Leukemia
CD4pp_CD25__Th_Primary_Cells	Gastric
Fetal_Muscle_Leg	HepG2_Hepatocellular_Carcinoma
Fetal_Adrenal_Gland	HeLa_S3_Cervical_Carcinoma
Pancreatic_Islets	Pancreas
