(New) Chromatin State	(Old) Chromatin State
Bivalent_Enhancer	Flanking_Active_TSS
Flanking_Active_TSS	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Bivalent_Poised_TSS
Bivalent_Poised_TSS	Active_TSS
Transcr_at_gene_5_and_3	Bivalent_Enhancer
Genic_enhancers	Transcr_at_gene_5_and_3
Enhancers	Repressed_PolyComb
ZNF_genes_and_repeats	Enhancers
Active_TSS	Genic_enhancers
Repressed_PolyComb	Weak_Repressed_PolyComb
Heterochromatin	Weak_transcription
Strong_transcription	ZNF_genes_and_repeats
Weak_transcription	Strong_transcription
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
