(New) Cell Type	(Old) Cell Type
Pancreas	Pancreas
iPS_20b_Cell_Line	Thymus
HUES48_Cell_Line	Gastric
CD4pp_CD25__Th_Primary_Cells	Colonic_Mucosa
iPS_18_Cell_Line	CD4_Memory_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	Spleen
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Esophagus
ES_WA7_Cell_Line	Placenta_Amnion
CD56_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Ovary	Rectal_Smooth_Muscle
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Fetal_Thymus
iPS_15b_Cell_Line	Skeletal_Muscle_Male
HeLa_S3_Cervical_Carcinoma	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Dnd41_TCell_Leukemia	Lung
HUES6_Cell_Line	Ovary
Small_Intestine	Rectal_Mucosa.Donor_29
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Right_Atrium
Stomach_Mucosa	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Colonic_Mucosa	Fetal_Stomach
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Esophagus	Brain_Mid_Frontal_Lobe
Psoas_Muscle	Aorta
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	H1_Derived_Neuronal_Progenitor_Cultured_Cells
HUES64_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Pancreatic_Islets	Left_Ventricle
CD34_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Stomach_Mucosa
Rectal_Smooth_Muscle	iPS_DF_19.11_Cell_Line
NH_A_Astrocytes	Colon_Smooth_Muscle
Skeletal_Muscle_Male	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Kidney	Skeletal_Muscle_Female
CD19_Primary_Cells_Peripheral_UW	NH_A_Astrocytes
Fetal_Muscle_Leg	Fetal_Intestine_Small
Thymus	iPS_DF_6.9_Cell_Line
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Fetal_Placenta
Brain_Germinal_Matrix	Adipose_Nuclei
K562_Leukemia	Right_Ventricle
Fetal_Brain_Male	CD56_Primary_Cells
Breast_Myoepithelial_Cells	Brain_Inferior_Temporal_Lobe
CD3_Primary_Cells_Peripheral_UW	Sigmoid_Colon
H1_Derived_Mesenchymal_Stem_Cells	Adult_Liver
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD14_Primary_Cells
Skeletal_Muscle_Female	Brain_Cingulate_Gyrus
Fetal_Intestine_Small	Brain_Germinal_Matrix
CD14_Primary_Cells	Brain_Hippocampus_Middle
HMEC_Mammary_Epithelial	Brain_Substantia_Nigra
H1_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
iPS_DF_19.11_Cell_Line	Duodenum_Mucosa
Spleen	Fetal_Kidney
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Angular_Gyrus
Rectal_Mucosa.Donor_29	HeLa_S3_Cervical_Carcinoma
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Duodenum_Smooth_Muscle
ES_I3_Cell_Line	K562_Leukemia
CD8_Naive_Primary_Cells	Monocytes_CD14pp_RO01746
Fetal_Thymus	CD34_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Fetal_Muscle_Trunk
Gastric	Fetal_Muscle_Leg
Brain_Angular_Gyrus	CD8_Naive_Primary_Cells
Left_Ventricle	CD15_Primary_Cells
NHLF_Lung_Fibroblasts	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Rectal_Mucosa.Donor_31	Small_Intestine
H9_Cell_Line	Stomach_Smooth_Muscle
H9_Derived_Neuron_Cultured_Cells	Breast_Myoepithelial_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	4star
iPS_DF_6.9_Cell_Line	Brain_Anterior_Caudate
Aorta	iPS_15b_Cell_Line
Fetal_Stomach	Fetal_Lung
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H1_Cell_Line
Brain_Cingulate_Gyrus	CD19_Primary_Cells_Cord_BI
Fetal_Intestine_Large	Dnd41_TCell_Leukemia
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD15_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Duodenum_Mucosa	Neurosphere_Cultured_Cells_Cortex_Derived
NHDF_Ad_Adult_Dermal_Fibroblasts	CD34_Primary_Cells
GM12878_Lymphoblastoid	Fetal_Brain_Male
CD19_Primary_Cells_Cord_BI	Rectal_Mucosa.Donor_31
A549_EtOH_0.02pct_Lung_Carcinoma	Mobilized_CD34_Primary_Cells_Female
Adult_Liver	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Right_Atrium	H9_Cell_Line
Brain_Mid_Frontal_Lobe	CD4pp_CD25__Th_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD4_Naive_Primary_Cells
Adipose_Nuclei	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Inferior_Temporal_Lobe	CD19_Primary_Cells_Peripheral_UW
Fetal_Brain_Female	Pancreatic_Islets
Fetal_Heart	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Stomach_Smooth_Muscle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Heart
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Brain_Female
Mobilized_CD34_Primary_Cells_Female	Mobilized_CD34_Primary_Cells_Male
Lung	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Fetal_Adrenal_Gland	CD8_Memory_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	NHLF_Lung_Fibroblasts
CD34_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
NHEK_Epidermal_Keratinocytes	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Muscle_Satellite_Cultured_Cells	Fetal_Intestine_Large
Colon_Smooth_Muscle	Psoas_Muscle
Osteoblasts	NHEK_Epidermal_Keratinocytes
Monocytes_CD14pp_RO01746	Fetal_Adrenal_Gland
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	iPS_20b_Cell_Line
Brain_Substantia_Nigra	IMR90_Cell_Line
Placenta_Amnion	HUES6_Cell_Line
Duodenum_Smooth_Muscle	Muscle_Satellite_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Hippocampus_Middle	Breast_vHMEC
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	ES_I3_Cell_Line
Right_Ventricle	CD3_Primary_Cells_Cord_BI
Fetal_Lung	ES_WA7_Cell_Line
CD4_Memory_Primary_Cells	Osteoblasts
4star	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD8_Memory_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Fetal_Placenta	A549_EtOH_0.02pct_Lung_Carcinoma
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	HUES48_Cell_Line
CD3_Primary_Cells_Cord_BI	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4_Naive_Primary_Cells	HUES64_Cell_Line
IMR90_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
Fetal_Muscle_Trunk	HMEC_Mammary_Epithelial
Brain_Anterior_Caudate	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	HepG2_Hepatocellular_Carcinoma
Sigmoid_Colon	iPS_18_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Breast_vHMEC	GM12878_Lymphoblastoid
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
