(New) Cell Type	(Old) Cell Type
Pancreatic_Islets	Pancreatic_Islets
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
ES_WA7_Cell_Line	Fetal_Kidney
Fetal_Kidney	HUES64_Cell_Line
HeLa_S3_Cervical_Carcinoma	CD4_Naive_Primary_Cells
H9_Cell_Line	HUES48_Cell_Line
ES_I3_Cell_Line	CD34_Primary_Cells
iPS_15b_Cell_Line	Stomach_Smooth_Muscle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Hippocampus_Middle
Aorta	Mobilized_CD34_Primary_Cells_Female
Fetal_Brain_Male	CD19_Primary_Cells_Peripheral_UW
Fetal_Heart	HUES6_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Heart
HUES64_Cell_Line	CD4pp_CD25__Th_Primary_Cells
Gastric	Colon_Smooth_Muscle
iPS_20b_Cell_Line	Skeletal_Muscle_Female
Pancreas	Duodenum_Mucosa
NHDF_Ad_Adult_Dermal_Fibroblasts	Duodenum_Smooth_Muscle
HUES48_Cell_Line	Stomach_Mucosa
Breast_vHMEC	CD8_Memory_Primary_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD8_Naive_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	ES_I3_Cell_Line
Osteoblasts	Mobilized_CD34_Primary_Cells_Male
K562_Leukemia	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Small_Intestine	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Right_Atrium	iPS_20b_Cell_Line
Fetal_Lung	Brain_Substantia_Nigra
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	iPS_18_Cell_Line
Stomach_Mucosa	Adipose_Nuclei
HSMM_Skeletal_Muscle_Myoblasts	iPS_15b_Cell_Line
iPS_DF_6.9_Cell_Line	CD4_Memory_Primary_Cells
Brain_Substantia_Nigra	Adult_Liver
iPS_18_Cell_Line	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Thymus
Brain_Angular_Gyrus	Peripheral_Blood_Mononuclear_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Placenta_Amnion
Psoas_Muscle	Fetal_Intestine_Small
NHLF_Lung_Fibroblasts	Fetal_Lung
Sigmoid_Colon	Rectal_Mucosa.Donor_29
CD19_Primary_Cells_Cord_BI	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Skeletal_Muscle_Male
Ovary	CD34_Cultured_Cells
Colon_Smooth_Muscle	Brain_Angular_Gyrus
Rectal_Smooth_Muscle	CD56_Primary_Cells
Brain_Anterior_Caudate	Fetal_Intestine_Large
Fetal_Brain_Female	NHEK_Epidermal_Keratinocytes
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Cell_Line
Adult_Liver	Brain_Cingulate_Gyrus
