(New) Cell Type	(Old) Cell Type
Pancreatic_Islets	Pancreatic_Islets
Fetal_Heart	H9_Derived_Neuron_Cultured_Cells
Breast_vHMEC	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Psoas_Muscle	Duodenum_Smooth_Muscle
Fetal_Kidney	Fetal_Kidney
iPS_20b_Cell_Line	HUES64_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	K562_Leukemia
Pancreas	A549_EtOH_0.02pct_Lung_Carcinoma
HUES64_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_18_Cell_Line	HUES48_Cell_Line
Fetal_Brain_Male	NH_A_Astrocytes
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
NH_A_Astrocytes	iPS_20b_Cell_Line
ES_I3_Cell_Line	Rectal_Smooth_Muscle
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Brain_Angular_Gyrus	Small_Intestine
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4_Naive_Primary_Cells	HeLa_S3_Cervical_Carcinoma
HUES48_Cell_Line	Colon_Smooth_Muscle
Brain_Hippocampus_Middle	HepG2_Hepatocellular_Carcinoma
A549_EtOH_0.02pct_Lung_Carcinoma	iPS_18_Cell_Line
NHDF_Ad_Adult_Dermal_Fibroblasts	Rectal_Mucosa.Donor_29
CD4_Memory_Primary_Cells	Dnd41_TCell_Leukemia
Brain_Substantia_Nigra	GM12878_Lymphoblastoid
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Muscle_Satellite_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	NHLF_Lung_Fibroblasts
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HSMM_Skeletal_Muscle_Myoblasts
Brain_Anterior_Caudate	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
GM12878_Lymphoblastoid	Duodenum_Mucosa
HeLa_S3_Cervical_Carcinoma	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Stomach_Smooth_Muscle	Fetal_Brain_Male
Brain_Cingulate_Gyrus	Brain_Anterior_Caudate
Colon_Smooth_Muscle	Brain_Angular_Gyrus
CD8_Memory_Primary_Cells	Adult_Liver
Placenta_Amnion	HUVEC_Umbilical_Vein_Endothelial_Cells
CD34_Primary_Cells	Fetal_Lung
Osteoblasts	NHEK_Epidermal_Keratinocytes
Duodenum_Smooth_Muscle	HMEC_Mammary_Epithelial
K562_Leukemia	Stomach_Mucosa
Fetal_Lung	Osteoblasts
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Mucosa.Donor_31
Muscle_Satellite_Cultured_Cells	Fetal_Brain_Female
CD19_Primary_Cells_Cord_BI	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Monocytes_CD14pp_RO01746	Brain_Hippocampus_Middle
Rectal_Smooth_Muscle	Brain_Mid_Frontal_Lobe
NHLF_Lung_Fibroblasts	Brain_Cingulate_Gyrus
Fetal_Brain_Female	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Breast_Myoepithelial_Cells
H9_Derived_Neuron_Cultured_Cells	Sigmoid_Colon
Brain_Inferior_Temporal_Lobe	HUES6_Cell_Line
Small_Intestine	Brain_Inferior_Temporal_Lobe
iPS_15b_Cell_Line	Stomach_Smooth_Muscle
HUES6_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD3_Primary_Cells_Cord_BI	Brain_Substantia_Nigra
Rectal_Mucosa.Donor_29	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
H9_Cell_Line	Breast_vHMEC
Rectal_Mucosa.Donor_31	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
NHEK_Epidermal_Keratinocytes	CD34_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Heart
Left_Ventricle	Skeletal_Muscle_Female
HSMM_Skeletal_Muscle_Myoblasts	Psoas_Muscle
Stomach_Mucosa	Fetal_Intestine_Small
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD34_Primary_Cells
Adult_Liver	Fetal_Intestine_Large
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
Skeletal_Muscle_Female	Skeletal_Muscle_Male
Right_Ventricle	CD4_Memory_Primary_Cells
ES_WA7_Cell_Line	ES_I3_Cell_Line
Duodenum_Mucosa	CD8_Memory_Primary_Cells
Brain_Germinal_Matrix	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Brain_Mid_Frontal_Lobe	Brain_Germinal_Matrix
HepG2_Hepatocellular_Carcinoma	CD19_Primary_Cells_Cord_BI
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Sigmoid_Colon	CD4pp_CD25__Th_Primary_Cells
HMEC_Mammary_Epithelial	Neurosphere_Cultured_Cells_Cortex_Derived
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4_Naive_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
H1_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
