(New) Cell Type	(Old) Cell Type
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
HUVEC_Umbilical_Vein_Endothelial_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
IMR90_Cell_Line	HepG2_Hepatocellular_Carcinoma
Adult_Liver	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD14_Primary_Cells	IMR90_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD14_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
HUES6_Cell_Line	Fetal_Placenta
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	iPS_18_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUES48_Cell_Line
Small_Intestine	HUES64_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Breast_vHMEC
Pancreatic_Islets	CD56_Primary_Cells
Dnd41_TCell_Leukemia	Breast_Myoepithelial_Cells
Sigmoid_Colon	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Adult_Liver
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Psoas_Muscle
HMEC_Mammary_Epithelial	iPS_20b_Cell_Line
CD4pp_CD25__Th_Primary_Cells	4star
Ovary	Duodenum_Mucosa
GM12878_Lymphoblastoid	HUES6_Cell_Line
Right_Atrium	Monocytes_CD14pp_RO01746
CD4pp_CD25pp_CD127__Treg_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Breast_Myoepithelial_Cells	H1_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Adipose_Nuclei
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD3_Primary_Cells_Cord_BI
NHEK_Epidermal_Keratinocytes	Fetal_Brain_Female
CD3_Primary_Cells_Cord_BI	Brain_Anterior_Caudate
HeLa_S3_Cervical_Carcinoma	Fetal_Muscle_Leg
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
A549_EtOH_0.02pct_Lung_Carcinoma	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Left_Ventricle	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Aorta	Brain_Hippocampus_Middle
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Muscle_Trunk
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD15_Primary_Cells
K562_Leukemia	Pancreatic_Islets
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Pancreas
CD19_Primary_Cells_Cord_BI	CD4pp_CD25pp_CD127__Treg_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Adrenal_Gland
Breast_vHMEC	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD8_Naive_Primary_Cells	iPS_15b_Cell_Line
CD34_Cultured_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HepG2_Hepatocellular_Carcinoma	Aorta
Fetal_Adrenal_Gland	Brain_Substantia_Nigra
Lung	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Lung
CD34_Primary_Cells	ES_I3_Cell_Line
H9_Derived_Neuron_Cultured_Cells	Brain_Germinal_Matrix
Fetal_Placenta	Fetal_Intestine_Small
Peripheral_Blood_Mononuclear_Primary_Cells	Duodenum_Smooth_Muscle
Fetal_Intestine_Small	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD56_Primary_Cells	Left_Ventricle
Fetal_Intestine_Large	Brain_Inferior_Temporal_Lobe
CD3_Primary_Cells_Peripheral_UW	A549_EtOH_0.02pct_Lung_Carcinoma
Rectal_Mucosa.Donor_31	Brain_Angular_Gyrus
Fetal_Muscle_Leg	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Rectal_Mucosa.Donor_29	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Brain_Cingulate_Gyrus
Duodenum_Mucosa	CD19_Primary_Cells_Peripheral_UW
Adipose_Nuclei	Sigmoid_Colon
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	H9_Cell_Line
Neurosphere_Cultured_Cells_Cortex_Derived	HMEC_Mammary_Epithelial
Mobilized_CD34_Primary_Cells_Female	Dnd41_TCell_Leukemia
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD34_Primary_Cells
NHLF_Lung_Fibroblasts	CD4pp_CD25__Th_Primary_Cells
HUES64_Cell_Line	Rectal_Mucosa.Donor_31
Muscle_Satellite_Cultured_Cells	Fetal_Heart
Brain_Cingulate_Gyrus	CD4_Memory_Primary_Cells
Brain_Angular_Gyrus	Brain_Mid_Frontal_Lobe
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Mobilized_CD34_Primary_Cells_Female
CD19_Primary_Cells_Peripheral_UW	Colon_Smooth_Muscle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD8_Naive_Primary_Cells
CD15_Primary_Cells	ES_WA7_Cell_Line
Monocytes_CD14pp_RO01746	NHEK_Epidermal_Keratinocytes
Psoas_Muscle	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Hippocampus_Middle	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Inferior_Temporal_Lobe	CD4_Naive_Primary_Cells
