(New) Chromatin State	(Old) Chromatin State
Active_TSS	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	Genic_enhancers
Genic_enhancers	Flanking_Active_TSS
Bivalent_Poised_TSS	Active_TSS
Repressed_PolyComb	Strong_transcription
Strong_transcription	Enhancers
ZNF_genes_and_repeats	Weak_transcription
Enhancers	Flanking_Bivalent_TSS_Enh
Flanking_Active_TSS	Bivalent_Enhancer
Bivalent_Enhancer	Bivalent_Poised_TSS
Flanking_Bivalent_TSS_Enh	Repressed_PolyComb
Heterochromatin	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
