(New) Cell Type	(Old) Cell Type
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Fetal_Muscle_Leg	NHDF_Ad_Adult_Dermal_Fibroblasts
Fetal_Kidney	IMR90_Cell_Line
ES_WA7_Cell_Line	NHLF_Lung_Fibroblasts
Fetal_Brain_Male	NH_A_Astrocytes
H1_Derived_Mesenchymal_Stem_Cells	HSMM_Skeletal_Muscle_Myoblasts
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Colonic_Mucosa
IMR90_Cell_Line	Muscle_Satellite_Cultured_Cells
Fetal_Lung	Placenta_Amnion
Fetal_Muscle_Trunk	Osteoblasts
Skeletal_Muscle_Male	CD3_Primary_Cells_Peripheral_UW
Mobilized_CD34_Primary_Cells_Female	Rectal_Smooth_Muscle
Fetal_Stomach	K562_Leukemia
Colon_Smooth_Muscle	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Duodenum_Mucosa
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Esophagus	NHEK_Epidermal_Keratinocytes
Fetal_Adrenal_Gland	Rectal_Mucosa.Donor_29
CD14_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Monocytes_CD14pp_RO01746	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Placenta	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
Placenta_Amnion	Stomach_Mucosa
CD15_Primary_Cells	Duodenum_Smooth_Muscle
Stomach_Smooth_Muscle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Breast_vHMEC	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Stomach_Mucosa	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Germinal_Matrix	Small_Intestine
Neurosphere_Cultured_Cells_Cortex_Derived	Skeletal_Muscle_Male
Lung	HUVEC_Umbilical_Vein_Endothelial_Cells
Colonic_Mucosa	Right_Ventricle
Thymus	Fetal_Adrenal_Gland
Adipose_Nuclei	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Brain_Female	Fetal_Stomach
Mobilized_CD34_Primary_Cells_Male	Fetal_Muscle_Trunk
Aorta	CD34_Cultured_Cells
Breast_Myoepithelial_Cells	Rectal_Mucosa.Donor_31
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD8_Memory_Primary_Cells
NH_A_Astrocytes	Dnd41_TCell_Leukemia
iPS_DF_6.9_Cell_Line	Stomach_Smooth_Muscle
Duodenum_Smooth_Muscle	Fetal_Placenta
