(New) Cell Type	(Old) Cell Type
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD34_Primary_Cells	NHEK_Epidermal_Keratinocytes
Brain_Germinal_Matrix	HMEC_Mammary_Epithelial
Stomach_Smooth_Muscle	Muscle_Satellite_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Esophagus
Skeletal_Muscle_Female	IMR90_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Brain_Male	Fetal_Intestine_Small
Lung	Breast_vHMEC
Spleen	iPS_DF_6.9_Cell_Line
HepG2_Hepatocellular_Carcinoma	Fetal_Intestine_Large
Pancreas	HUVEC_Umbilical_Vein_Endothelial_Cells
Fetal_Muscle_Trunk	Placenta_Amnion
CD4pp_CD25__Th_Primary_Cells	Lung
Peripheral_Blood_Mononuclear_Primary_Cells	H1_Cell_Line
Brain_Mid_Frontal_Lobe	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
CD19_Primary_Cells_Cord_BI	Fetal_Stomach
Esophagus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Adrenal_Gland
Rectal_Mucosa.Donor_29	Fetal_Muscle_Leg
NHLF_Lung_Fibroblasts	Sigmoid_Colon
Thymus	CD4_Memory_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Thymus
Fetal_Adrenal_Gland	Stomach_Mucosa
Fetal_Brain_Female	CD19_Primary_Cells_Peripheral_UW
Right_Ventricle	CD14_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Dnd41_TCell_Leukemia
CD34_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
4star	Small_Intestine
Fetal_Intestine_Small	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD3_Primary_Cells_Peripheral_UW	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Colonic_Mucosa	CD8_Naive_Primary_Cells
Duodenum_Mucosa	Adipose_Nuclei
Skeletal_Muscle_Male	CD8_Memory_Primary_Cells
Left_Ventricle	Fetal_Lung
Adipose_Nuclei	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Gastric	Neurosphere_Cultured_Cells_Cortex_Derived
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Muscle_Trunk
Placenta_Amnion	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
H1_Cell_Line	Gastric
CD15_Primary_Cells	Fetal_Kidney
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Placenta
iPS_15b_Cell_Line	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	CD34_Cultured_Cells
Fetal_Placenta	H1_Derived_Mesenchymal_Stem_Cells
IMR90_Cell_Line	Left_Ventricle
Fetal_Thymus	H1_Derived_Neuronal_Progenitor_Cultured_Cells
iPS_DF_19.11_Cell_Line	CD4_Naive_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
Fetal_Heart	CD56_Primary_Cells
Aorta	H9_Derived_Neuron_Cultured_Cells
CD56_Primary_Cells	NH_A_Astrocytes
Brain_Inferior_Temporal_Lobe	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Brain_Anterior_Caudate	iPS_18_Cell_Line
Stomach_Mucosa	Peripheral_Blood_Mononuclear_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	Thymus
Fetal_Muscle_Leg	HUES48_Cell_Line
Brain_Hippocampus_Middle	CD15_Primary_Cells
Rectal_Mucosa.Donor_31	HSMM_Skeletal_Muscle_Myoblasts
Monocytes_CD14pp_RO01746	4star
Brain_Cingulate_Gyrus	CD4pp_CD25__Th_Primary_Cells
Fetal_Stomach	Pancreas
Rectal_Smooth_Muscle	Mobilized_CD34_Primary_Cells_Male
Brain_Angular_Gyrus	HUES64_Cell_Line
Sigmoid_Colon	CD34_Primary_Cells
Psoas_Muscle	CD3_Primary_Cells_Peripheral_UW
Right_Atrium	Fetal_Heart
CD14_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Intestine_Large	NHLF_Lung_Fibroblasts
Mobilized_CD34_Primary_Cells_Male	NHDF_Ad_Adult_Dermal_Fibroblasts
Duodenum_Smooth_Muscle	Breast_Myoepithelial_Cells
Adult_Liver	Psoas_Muscle
