(New) Cell Type	(Old) Cell Type
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Stomach_Smooth_Muscle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Brain_Germinal_Matrix	HMEC_Mammary_Epithelial
Spleen	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Pancreas	Breast_vHMEC
Fetal_Muscle_Trunk	NHEK_Epidermal_Keratinocytes
Lung	Small_Intestine
Brain_Mid_Frontal_Lobe	Neurosphere_Cultured_Cells_Cortex_Derived
CD34_Primary_Cells	4star
NHLF_Lung_Fibroblasts	Lung
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Sigmoid_Colon
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Fetal_Adrenal_Gland
Gastric	Placenta_Amnion
Fetal_Adrenal_Gland	NHLF_Lung_Fibroblasts
Fetal_Brain_Female	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Esophagus	H1_Cell_Line
Thymus	Psoas_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	H1_Derived_Neuronal_Progenitor_Cultured_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Esophagus
Peripheral_Blood_Mononuclear_Primary_Cells	iPS_DF_6.9_Cell_Line
H1_Derived_Mesenchymal_Stem_Cells	Breast_Myoepithelial_Cells
Fetal_Brain_Male	Stomach_Mucosa
CD4pp_CD25__Th_Primary_Cells	H9_Cell_Line
CD34_Cultured_Cells	Fetal_Intestine_Large
Right_Ventricle	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Left_Ventricle	iPS_15b_Cell_Line
Skeletal_Muscle_Female	NH_A_Astrocytes
4star	Fetal_Muscle_Trunk
H1_Cell_Line	Fetal_Placenta
CD19_Primary_Cells_Cord_BI	Gastric
Rectal_Mucosa.Donor_29	Brain_Angular_Gyrus
HepG2_Hepatocellular_Carcinoma	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	H9_Derived_Neuron_Cultured_Cells
Colonic_Mucosa	Fetal_Stomach
Adipose_Nuclei	HeLa_S3_Cervical_Carcinoma
Duodenum_Mucosa	Right_Ventricle
iPS_15b_Cell_Line	IMR90_Cell_Line
Fetal_Intestine_Small	Colon_Smooth_Muscle
IMR90_Cell_Line	Colonic_Mucosa
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Pancreatic_Islets
Placenta_Amnion	Brain_Mid_Frontal_Lobe
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Placenta	Brain_Germinal_Matrix
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Muscle_Leg
Skeletal_Muscle_Male	Fetal_Brain_Male
CD15_Primary_Cells	Fetal_Kidney
Aorta	Rectal_Smooth_Muscle
iPS_DF_19.11_Cell_Line	Fetal_Brain_Female
