(New) Cell Type	(Old) Cell Type
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD19_Primary_Cells_Peripheral_UW	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
NHDF_Ad_Adult_Dermal_Fibroblasts	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Adult_Liver	CD34_Cultured_Cells
CD56_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
CD3_Primary_Cells_Cord_BI	H9_Derived_Neuron_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Intestine_Large	Dnd41_TCell_Leukemia
Fetal_Lung	Monocytes_CD14pp_RO01746
Neurosphere_Cultured_Cells_Cortex_Derived	Mobilized_CD34_Primary_Cells_Female
iPS_20b_Cell_Line	CD3_Primary_Cells_Peripheral_UW
CD4pp_CD25__Th_Primary_Cells	Fetal_Thymus
Fetal_Muscle_Leg	CD4pp_CD25__Th_Primary_Cells
iPS_18_Cell_Line	CD56_Primary_Cells
Fetal_Thymus	CD4pp_CD25pp_CD127__Treg_Primary_Cells
H1_Cell_Line	CD14_Primary_Cells
Skeletal_Muscle_Female	HUES64_Cell_Line
HUES48_Cell_Line	CD15_Primary_Cells
Skeletal_Muscle_Male	CD19_Primary_Cells_Peripheral_UW
CD34_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
HUES64_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Muscle_Satellite_Cultured_Cells	Breast_vHMEC
Brain_Hippocampus_Middle	NHEK_Epidermal_Keratinocytes
Breast_Myoepithelial_Cells	CD3_Primary_Cells_Cord_BI
Duodenum_Mucosa	Breast_Myoepithelial_Cells
CD15_Primary_Cells	Rectal_Mucosa.Donor_29
Adipose_Nuclei	HUES48_Cell_Line
CD3_Primary_Cells_Peripheral_UW	Fetal_Intestine_Large
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Duodenum_Mucosa
Fetal_Adrenal_Gland	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Adult_Liver
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Small_Intestine
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
NHEK_Epidermal_Keratinocytes	HUES6_Cell_Line
Fetal_Muscle_Trunk	iPS_20b_Cell_Line
CD19_Primary_Cells_Cord_BI	HMEC_Mammary_Epithelial
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Muscle_Trunk
Osteoblasts	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Adrenal_Gland
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	IMR90_Cell_Line
4star	Fetal_Muscle_Leg
HSMM_Skeletal_Muscle_Myoblasts	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
K562_Leukemia	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Stomach	Colonic_Mucosa
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
