(New) Cell Type	(Old) Cell Type
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
IMR90_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Intestine_Small	NHEK_Epidermal_Keratinocytes
CD3_Primary_Cells_Peripheral_UW	HeLa_S3_Cervical_Carcinoma
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	HMEC_Mammary_Epithelial
Adipose_Nuclei	Breast_vHMEC
Fetal_Intestine_Large	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Fetal_Thymus	Breast_Myoepithelial_Cells
CD14_Primary_Cells	Esophagus
CD56_Primary_Cells	Muscle_Satellite_Cultured_Cells
Breast_Myoepithelial_Cells	Placenta_Amnion
Fetal_Muscle_Leg	Colonic_Mucosa
H1_Cell_Line	NH_A_Astrocytes
Fetal_Adrenal_Gland	Duodenum_Mucosa
HMEC_Mammary_Epithelial	NHLF_Lung_Fibroblasts
iPS_DF_19.11_Cell_Line	A549_EtOH_0.02pct_Lung_Carcinoma
NHLF_Lung_Fibroblasts	Rectal_Mucosa.Donor_29
Fetal_Placenta	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD34_Cultured_Cells	Osteoblasts
4star	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Brain_Germinal_Matrix
Brain_Hippocampus_Middle	Stomach_Smooth_Muscle
CD4_Memory_Primary_Cells	Small_Intestine
Colon_Smooth_Muscle	Rectal_Smooth_Muscle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Mobilized_CD34_Primary_Cells_Female	Duodenum_Smooth_Muscle
Skeletal_Muscle_Female	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD8_Naive_Primary_Cells	Stomach_Mucosa
CD15_Primary_Cells	Rectal_Mucosa.Donor_31
Neurosphere_Cultured_Cells_Cortex_Derived	HSMM_Skeletal_Muscle_Myoblasts
