(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Bivalent_Poised_TSS	Genic_enhancers
Active_TSS	Flanking_Active_TSS
Flanking_Bivalent_TSS_Enh	Strong_transcription
Genic_enhancers	Active_TSS
Bivalent_Enhancer	Enhancers
Flanking_Active_TSS	Weak_transcription
Enhancers	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Bivalent_Enhancer
Repressed_PolyComb	Bivalent_Poised_TSS
Strong_transcription	Repressed_PolyComb
Heterochromatin	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
