(New) Cell Type	(Old) Cell Type
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Kidney	Small_Intestine
H1_Derived_Mesenchymal_Stem_Cells	Duodenum_Mucosa
ES_WA7_Cell_Line	Right_Ventricle
Fetal_Muscle_Leg	Colonic_Mucosa
HepG2_Hepatocellular_Carcinoma	Rectal_Smooth_Muscle
Mobilized_CD34_Primary_Cells_Female	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Brain_Male	Placenta_Amnion
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Duodenum_Smooth_Muscle
Brain_Germinal_Matrix	Brain_Mid_Frontal_Lobe
Stomach_Smooth_Muscle	Fetal_Adrenal_Gland
Thymus	Psoas_Muscle
CD15_Primary_Cells	Rectal_Mucosa.Donor_29
Neurosphere_Cultured_Cells_Cortex_Derived	CD3_Primary_Cells_Peripheral_UW
Fetal_Brain_Female	Sigmoid_Colon
Stomach_Mucosa	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Placenta_Amnion	Stomach_Mucosa
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD34_Cultured_Cells
Adipose_Nuclei	Brain_Hippocampus_Middle
IMR90_Cell_Line	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Esophagus	HeLa_S3_Cervical_Carcinoma
Fetal_Lung	Peripheral_Blood_Mononuclear_Primary_Cells
NH_A_Astrocytes	Rectal_Mucosa.Donor_31
Fetal_Intestine_Small	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Skeletal_Muscle_Female	Pancreatic_Islets
Duodenum_Smooth_Muscle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Muscle_Satellite_Cultured_Cells	Fetal_Placenta
Aorta	Skeletal_Muscle_Male
Colonic_Mucosa	NHEK_Epidermal_Keratinocytes
Colon_Smooth_Muscle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Cingulate_Gyrus
CD19_Primary_Cells_Peripheral_UW	Fetal_Intestine_Large
Monocytes_CD14pp_RO01746	H1_Derived_Mesenchymal_Stem_Cells
Skeletal_Muscle_Male	Brain_Angular_Gyrus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	NHLF_Lung_Fibroblasts
Breast_vHMEC	Brain_Substantia_Nigra
CD14_Primary_Cells	NH_A_Astrocytes
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Stomach_Smooth_Muscle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Skeletal_Muscle_Female
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Osteoblasts	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Muscle_Trunk	Breast_vHMEC
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Intestine_Small
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Stomach
CD4_Naive_Primary_Cells	Fetal_Muscle_Trunk
Breast_Myoepithelial_Cells	CD3_Primary_Cells_Cord_BI
NHEK_Epidermal_Keratinocytes	K562_Leukemia
Fetal_Stomach	HepG2_Hepatocellular_Carcinoma
H9_Derived_Neuron_Cultured_Cells	Adipose_Nuclei
Fetal_Adrenal_Gland	HSMM_Skeletal_Muscle_Myoblasts
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Colon_Smooth_Muscle
CD56_Primary_Cells	Muscle_Satellite_Cultured_Cells
CD4_Memory_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Placenta	H9_Derived_Neuron_Cultured_Cells
Psoas_Muscle	iPS_DF_19.11_Cell_Line
Mobilized_CD34_Primary_Cells_Male	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Rectal_Smooth_Muscle	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Heart	Dnd41_TCell_Leukemia
CD8_Memory_Primary_Cells	Brain_Inferior_Temporal_Lobe
CD3_Primary_Cells_Peripheral_UW	Brain_Germinal_Matrix
Lung	Fetal_Muscle_Leg
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	IMR90_Cell_Line
Brain_Anterior_Caudate	Mobilized_CD34_Primary_Cells_Male
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Osteoblasts
Brain_Hippocampus_Middle	Neurosphere_Cultured_Cells_Cortex_Derived
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Fetal_Heart
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	ES_I3_Cell_Line
Brain_Substantia_Nigra	ES_WA7_Cell_Line
Fetal_Intestine_Large	Left_Ventricle
iPS_DF_6.9_Cell_Line	Right_Atrium
Brain_Inferior_Temporal_Lobe	A549_EtOH_0.02pct_Lung_Carcinoma
Brain_Mid_Frontal_Lobe	HMEC_Mammary_Epithelial
Right_Ventricle	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD34_Primary_Cells	HUES6_Cell_Line
CD4pp_CD25__Th_Primary_Cells	CD8_Memory_Primary_Cells
HUES6_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
Duodenum_Mucosa	Mobilized_CD34_Primary_Cells_Female
CD34_Cultured_Cells	iPS_20b_Cell_Line
HUES48_Cell_Line	CD15_Primary_Cells
NHLF_Lung_Fibroblasts	iPS_15b_Cell_Line
Fetal_Thymus	Thymus
HUES64_Cell_Line	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD34_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Aorta
Brain_Angular_Gyrus	Fetal_Brain_Male
Dnd41_TCell_Leukemia	Brain_Anterior_Caudate
Brain_Cingulate_Gyrus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Fetal_Brain_Female
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	GM12878_Lymphoblastoid
iPS_20b_Cell_Line	HUES64_Cell_Line
Gastric	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Pancreatic_Islets	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Rectal_Mucosa.Donor_29	H1_Cell_Line
CD19_Primary_Cells_Cord_BI	Lung
Rectal_Mucosa.Donor_31	CD14_Primary_Cells
CD8_Naive_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Esophagus
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Monocytes_CD14pp_RO01746
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD3_Primary_Cells_Cord_BI	HUES48_Cell_Line
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	H9_Cell_Line
ES_I3_Cell_Line	Fetal_Thymus
Small_Intestine	iPS_18_Cell_Line
iPS_15b_Cell_Line	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
4star	CD19_Primary_Cells_Peripheral_UW
HeLa_S3_Cervical_Carcinoma	Fetal_Lung
H9_Cell_Line	Fetal_Kidney
HMEC_Mammary_Epithelial	iPS_DF_6.9_Cell_Line
iPS_18_Cell_Line	Breast_Myoepithelial_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD19_Primary_Cells_Cord_BI
HSMM_Skeletal_Muscle_Myoblasts	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Pancreas	Adult_Liver
Adult_Liver	Spleen
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	CD56_Primary_Cells
H1_Cell_Line	Ovary
Left_Ventricle	HUVEC_Umbilical_Vein_Endothelial_Cells
Ovary	CD8_Naive_Primary_Cells
GM12878_Lymphoblastoid	Pancreas
K562_Leukemia	4star
Sigmoid_Colon	CD4_Memory_Primary_Cells
Right_Atrium	CD4_Naive_Primary_Cells
Spleen	Gastric
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
iPS_DF_19.11_Cell_Line	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
