(New) Cell Type	(Old) Cell Type
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
H1_Cell_Line	Thymus
iPS_15b_Cell_Line	CD4_Memory_Primary_Cells
NHEK_Epidermal_Keratinocytes	Placenta_Amnion
H1_Derived_Mesenchymal_Stem_Cells	Colonic_Mucosa
CD34_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HeLa_S3_Cervical_Carcinoma	CD8_Memory_Primary_Cells
CD8_Naive_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4_Naive_Primary_Cells	Rectal_Mucosa.Donor_29
A549_EtOH_0.02pct_Lung_Carcinoma	CD4_Naive_Primary_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Rectal_Smooth_Muscle
K562_Leukemia	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Rectal_Mucosa.Donor_31
Duodenum_Mucosa	HSMM_Skeletal_Muscle_Myoblasts
Monocytes_CD14pp_RO01746	Gastric
Brain_Germinal_Matrix	Colon_Smooth_Muscle
HMEC_Mammary_Epithelial	NHLF_Lung_Fibroblasts
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	NH_A_Astrocytes
CD4_Memory_Primary_Cells	Fetal_Thymus
NHDF_Ad_Adult_Dermal_Fibroblasts	Spleen
Fetal_Lung	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Brain_Female	Brain_Substantia_Nigra
Left_Ventricle	iPS_DF_6.9_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Pancreas
ES_I3_Cell_Line	Right_Atrium
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Esophagus
Fetal_Adrenal_Gland	Peripheral_Blood_Mononuclear_Primary_Cells
Muscle_Satellite_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD34_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
GM12878_Lymphoblastoid	Lung
Fetal_Muscle_Leg	Stomach_Mucosa
CD15_Primary_Cells	Brain_Mid_Frontal_Lobe
CD8_Memory_Primary_Cells	CD8_Naive_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD56_Primary_Cells
Fetal_Muscle_Trunk	Brain_Angular_Gyrus
