(New) Chromatin State	(Old) Chromatin State
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Repressed_PolyComb
Strong_transcription	Quiescent_Low
Heterochromatin	Bivalent_Enhancer
Quiescent_Low	Heterochromatin
Repressed_PolyComb	Enhancers
ZNF_genes_and_repeats	Bivalent_Poised_TSS
Genic_enhancers	Flanking_Bivalent_TSS_Enh
Enhancers	Transcr_at_gene_5_and_3
Active_TSS	Flanking_Active_TSS
Transcr_at_gene_5_and_3	ZNF_genes_and_repeats
Flanking_Active_TSS	Active_TSS
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	Weak_transcription
Flanking_Bivalent_TSS_Enh	Strong_transcription
