(New) Chromatin State	(Old) Chromatin State
Flanking_Bivalent_TSS_Enh	Active_TSS
Bivalent_Enhancer	Flanking_Active_TSS
Active_TSS	Bivalent_Poised_TSS
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Flanking_Active_TSS	Transcr_at_gene_5_and_3
Transcr_at_gene_5_and_3	Enhancers
Genic_enhancers	Bivalent_Enhancer
Enhancers	Repressed_PolyComb
ZNF_genes_and_repeats	Genic_enhancers
Repressed_PolyComb	ZNF_genes_and_repeats
Heterochromatin	Weak_transcription
Strong_transcription	Weak_Repressed_PolyComb
Weak_transcription	Heterochromatin
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
