(New) Cell Type	(Old) Cell Type
Peripheral_Blood_Mononuclear_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Aorta	CD8_Memory_Primary_Cells
Muscle_Satellite_Cultured_Cells	CD4_Naive_Primary_Cells
K562_Leukemia	CD4pp_CD25__Th_Primary_Cells
H9_Cell_Line	CD8_Naive_Primary_Cells
Osteoblasts	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHEK_Epidermal_Keratinocytes	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Fetal_Lung	CD4_Memory_Primary_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Rectal_Mucosa.Donor_29	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
ES_WA7_Cell_Line	CD3_Primary_Cells_Cord_BI
HeLa_S3_Cervical_Carcinoma	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Thymus
NH_A_Astrocytes	CD56_Primary_Cells
Fetal_Brain_Male	CD19_Primary_Cells_Cord_BI
CD3_Primary_Cells_Cord_BI	Fetal_Thymus
HepG2_Hepatocellular_Carcinoma	CD19_Primary_Cells_Peripheral_UW
GM12878_Lymphoblastoid	CD34_Cultured_Cells
CD8_Memory_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
Small_Intestine	CD14_Primary_Cells
Psoas_Muscle	Dnd41_TCell_Leukemia
HSMM_Skeletal_Muscle_Myoblasts	CD34_Primary_Cells
CD4_Naive_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
HUES48_Cell_Line	Monocytes_CD14pp_RO01746
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Duodenum_Smooth_Muscle
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Adult_Liver	Fetal_Stomach
iPS_18_Cell_Line	Rectal_Mucosa.Donor_29
A549_EtOH_0.02pct_Lung_Carcinoma	GM12878_Lymphoblastoid
Fetal_Brain_Female	Duodenum_Mucosa
Fetal_Kidney	CD15_Primary_Cells
