(New) Cell Type	(Old) Cell Type
Psoas_Muscle	Psoas_Muscle
Brain_Mid_Frontal_Lobe	Skeletal_Muscle_Female
Sigmoid_Colon	Skeletal_Muscle_Male
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Right_Atrium
CD3_Primary_Cells_Cord_BI	Left_Ventricle
Duodenum_Smooth_Muscle	Stomach_Smooth_Muscle
Rectal_Mucosa.Donor_29	Duodenum_Smooth_Muscle
Left_Ventricle	Right_Ventricle
Right_Atrium	Rectal_Smooth_Muscle
CD8_Memory_Primary_Cells	Colon_Smooth_Muscle
iPS_15b_Cell_Line	Aorta
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Adipose_Nuclei
Stomach_Smooth_Muscle	HSMM_Skeletal_Muscle_Myoblasts
Mobilized_CD34_Primary_Cells_Male	Brain_Mid_Frontal_Lobe
H9_Derived_Neuron_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Muscle_Leg
Ovary	NHLF_Lung_Fibroblasts
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Anterior_Caudate
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Colonic_Mucosa
Adult_Liver	Small_Intestine
Brain_Inferior_Temporal_Lobe	Lung
H1_Derived_Mesenchymal_Stem_Cells	Sigmoid_Colon
H1_Cell_Line	Fetal_Muscle_Trunk
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Hippocampus_Middle
Fetal_Brain_Female	Fetal_Heart
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Fetal_Stomach
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Angular_Gyrus
Thymus	Brain_Inferior_Temporal_Lobe
Brain_Substantia_Nigra	Ovary
Osteoblasts	Brain_Cingulate_Gyrus
HSMM_Skeletal_Muscle_Myoblasts	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
