(New) Cell Type	(Old) Cell Type
Psoas_Muscle	Psoas_Muscle
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Left_Ventricle
Rectal_Smooth_Muscle	Right_Atrium
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Right_Ventricle
A549_EtOH_0.02pct_Lung_Carcinoma	Adipose_Nuclei
Right_Atrium	Sigmoid_Colon
HSMM_Skeletal_Muscle_Myoblasts	Lung
4star	Fetal_Stomach
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Small_Intestine
Fetal_Brain_Female	Skeletal_Muscle_Female
Fetal_Lung	Esophagus
Left_Ventricle	Fetal_Muscle_Leg
Gastric	Pancreas
CD8_Memory_Primary_Cells	Breast_Myoepithelial_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Smooth_Muscle
CD34_Primary_Cells	Gastric
CD19_Primary_Cells_Cord_BI	Brain_Mid_Frontal_Lobe
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Adrenal_Gland
Placenta_Amnion	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Osteoblasts	Fetal_Muscle_Trunk
Brain_Angular_Gyrus	Colon_Smooth_Muscle
CD4_Naive_Primary_Cells	Breast_vHMEC
Adult_Liver	Neurosphere_Cultured_Cells_Cortex_Derived
Ovary	Placenta_Amnion
Brain_Substantia_Nigra	Fetal_Intestine_Large
Fetal_Brain_Male	Brain_Angular_Gyrus
Colon_Smooth_Muscle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Anterior_Caudate	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
NHLF_Lung_Fibroblasts	Colonic_Mucosa
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Placenta
HeLa_S3_Cervical_Carcinoma	IMR90_Cell_Line
CD3_Primary_Cells_Cord_BI	Aorta
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Hippocampus_Middle
Sigmoid_Colon	Fetal_Intestine_Small
GM12878_Lymphoblastoid	Brain_Cingulate_Gyrus
Stomach_Mucosa	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Heart	Rectal_Smooth_Muscle
Thymus	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD4_Memory_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
iPS_DF_6.9_Cell_Line	Ovary
Brain_Cingulate_Gyrus	HSMM_Skeletal_Muscle_Myoblasts
NH_A_Astrocytes	Brain_Anterior_Caudate
HUVEC_Umbilical_Vein_Endothelial_Cells	NHLF_Lung_Fibroblasts
K562_Leukemia	HMEC_Mammary_Epithelial
Small_Intestine	Pancreatic_Islets
Brain_Inferior_Temporal_Lobe	iPS_DF_6.9_Cell_Line
Brain_Germinal_Matrix	Skeletal_Muscle_Male
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Inferior_Temporal_Lobe
NHDF_Ad_Adult_Dermal_Fibroblasts	Stomach_Mucosa
Pancreas	Fetal_Lung
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Aorta	Brain_Substantia_Nigra
NHEK_Epidermal_Keratinocytes	H9_Cell_Line
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Rectal_Mucosa.Donor_29	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Dnd41_TCell_Leukemia	Fetal_Kidney
Rectal_Mucosa.Donor_31	4star
Brain_Mid_Frontal_Lobe	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Peripheral_Blood_Mononuclear_Primary_Cells	H1_Cell_Line
Muscle_Satellite_Cultured_Cells	Rectal_Mucosa.Donor_31
Duodenum_Mucosa	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Duodenum_Smooth_Muscle	Thymus
H1_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Mucosa
Stomach_Smooth_Muscle	HUVEC_Umbilical_Vein_Endothelial_Cells
H9_Cell_Line	NH_A_Astrocytes
HUES48_Cell_Line	Fetal_Thymus
iPS_DF_19.11_Cell_Line	Muscle_Satellite_Cultured_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
ES_WA7_Cell_Line	Rectal_Mucosa.Donor_29
