(New) Cell Type	(Old) Cell Type
Psoas_Muscle	Psoas_Muscle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Pancreas
CD56_Primary_Cells	Skeletal_Muscle_Female
Esophagus	Left_Ventricle
Spleen	Aorta
Ovary	Ovary
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Adipose_Nuclei
IMR90_Cell_Line	Colon_Smooth_Muscle
Placenta_Amnion	Esophagus
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Skeletal_Muscle_Male
CD8_Memory_Primary_Cells	Right_Atrium
Lung	Placenta_Amnion
HMEC_Mammary_Epithelial	Duodenum_Smooth_Muscle
CD4_Naive_Primary_Cells	HSMM_Skeletal_Muscle_Myoblasts
Left_Ventricle	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4_Memory_Primary_Cells	Gastric
H1_Derived_Mesenchymal_Stem_Cells	Stomach_Smooth_Muscle
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Brain_Hippocampus_Middle
Right_Ventricle	Rectal_Smooth_Muscle
CD15_Primary_Cells	Colonic_Mucosa
Adipose_Nuclei	HMEC_Mammary_Epithelial
CD3_Primary_Cells_Peripheral_UW	Right_Ventricle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Brain_Substantia_Nigra
Colonic_Mucosa	Spleen
iPS_DF_19.11_Cell_Line	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Peripheral_Blood_Mononuclear_Primary_Cells	Adult_Liver
Mobilized_CD34_Primary_Cells_Male	Sigmoid_Colon
Muscle_Satellite_Cultured_Cells	Mobilized_CD34_Primary_Cells_Female
Neurosphere_Cultured_Cells_Cortex_Derived	Small_Intestine
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Mid_Frontal_Lobe	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Mobilized_CD34_Primary_Cells_Female	Fetal_Adrenal_Gland
CD19_Primary_Cells_Peripheral_UW	Brain_Inferior_Temporal_Lobe
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4_Memory_Primary_Cells
Gastric	Breast_Myoepithelial_Cells
Fetal_Placenta	CD8_Naive_Primary_Cells
Sigmoid_Colon	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Brain_Inferior_Temporal_Lobe	Lung
Breast_vHMEC	Brain_Mid_Frontal_Lobe
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	NHLF_Lung_Fibroblasts
Fetal_Intestine_Large	Brain_Angular_Gyrus
Rectal_Mucosa.Donor_31	Mobilized_CD34_Primary_Cells_Male
CD34_Cultured_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Brain_Anterior_Caudate
Duodenum_Smooth_Muscle	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Thymus	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Rectal_Mucosa.Donor_29	Fetal_Muscle_Leg
Brain_Hippocampus_Middle	NH_A_Astrocytes
Skeletal_Muscle_Male	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Breast_Myoepithelial_Cells	Brain_Cingulate_Gyrus
4star	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Monocytes_CD14pp_RO01746	CD4_Naive_Primary_Cells
Stomach_Smooth_Muscle	Neurosphere_Cultured_Cells_Cortex_Derived
CD4pp_CD25__Th_Primary_Cells	Rectal_Mucosa.Donor_31
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Muscle_Satellite_Cultured_Cells
NH_A_Astrocytes	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Skeletal_Muscle_Female	HUES6_Cell_Line
Brain_Cingulate_Gyrus	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD8_Naive_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Brain_Female	CD4pp_CD25__Th_Primary_Cells
iPS_DF_6.9_Cell_Line	iPS_DF_6.9_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Duodenum_Mucosa
CD14_Primary_Cells	NHEK_Epidermal_Keratinocytes
K562_Leukemia	CD8_Memory_Primary_Cells
Brain_Substantia_Nigra	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Pancreas	CD34_Primary_Cells
Rectal_Smooth_Muscle	CD34_Cultured_Cells
