(New) Cell Type	(Old) Cell Type
Psoas_Muscle	Psoas_Muscle
CD3_Primary_Cells_Cord_BI	Colonic_Mucosa
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD8_Memory_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	CD4_Naive_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Colon_Smooth_Muscle
Rectal_Mucosa.Donor_31	Right_Ventricle
CD3_Primary_Cells_Peripheral_UW	CD4_Memory_Primary_Cells
Duodenum_Smooth_Muscle	Placenta_Amnion
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Brain_Substantia_Nigra
Brain_Substantia_Nigra	Rectal_Smooth_Muscle
Brain_Anterior_Caudate	Skeletal_Muscle_Female
Fetal_Lung	Brain_Mid_Frontal_Lobe
Brain_Hippocampus_Middle	Brain_Angular_Gyrus
CD8_Naive_Primary_Cells	Stomach_Mucosa
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Cingulate_Gyrus
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Gastric
Stomach_Smooth_Muscle	Brain_Inferior_Temporal_Lobe
CD19_Primary_Cells_Cord_BI	Thymus
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Mucosa.Donor_29
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Skeletal_Muscle_Male
Brain_Inferior_Temporal_Lobe	K562_Leukemia
Muscle_Satellite_Cultured_Cells	Brain_Hippocampus_Middle
Pancreatic_Islets	Duodenum_Smooth_Muscle
Brain_Cingulate_Gyrus	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Spleen
Fetal_Muscle_Trunk	Rectal_Mucosa.Donor_31
Brain_Angular_Gyrus	Fetal_Kidney
Fetal_Kidney	Brain_Anterior_Caudate
CD19_Primary_Cells_Peripheral_UW	CD8_Naive_Primary_Cells
Right_Ventricle	Small_Intestine
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Pancreatic_Islets
Osteoblasts	Fetal_Heart
CD34_Primary_Cells	Stomach_Smooth_Muscle
Fetal_Brain_Male	Adult_Liver
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	ES_WA7_Cell_Line
Mobilized_CD34_Primary_Cells_Male	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
ES_I3_Cell_Line	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Adipose_Nuclei
HUES64_Cell_Line	Breast_vHMEC
Dnd41_TCell_Leukemia	Left_Ventricle
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD4pp_CD25__Th_Primary_Cells
Fetal_Adrenal_Gland	Fetal_Lung
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Brain_Female	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHLF_Lung_Fibroblasts	H1_Derived_Neuronal_Progenitor_Cultured_Cells
K562_Leukemia	Fetal_Muscle_Trunk
Sigmoid_Colon	Sigmoid_Colon
Neurosphere_Cultured_Cells_Cortex_Derived	CD19_Primary_Cells_Cord_BI
Monocytes_CD14pp_RO01746	CD19_Primary_Cells_Peripheral_UW
Adult_Liver	iPS_DF_6.9_Cell_Line
iPS_15b_Cell_Line	CD3_Primary_Cells_Cord_BI
CD8_Memory_Primary_Cells	Ovary
Colon_Smooth_Muscle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD4_Memory_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_20b_Cell_Line	Breast_Myoepithelial_Cells
Brain_Mid_Frontal_Lobe	Fetal_Brain_Male
GM12878_Lymphoblastoid	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Rectal_Mucosa.Donor_29	Peripheral_Blood_Mononuclear_Primary_Cells
Breast_vHMEC	NH_A_Astrocytes
Skeletal_Muscle_Female	HUVEC_Umbilical_Vein_Endothelial_Cells
Adipose_Nuclei	Right_Atrium
Small_Intestine	Pancreas
NHEK_Epidermal_Keratinocytes	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Breast_Myoepithelial_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Female	Aorta
Fetal_Muscle_Leg	Muscle_Satellite_Cultured_Cells
Left_Ventricle	Fetal_Thymus
HeLa_S3_Cervical_Carcinoma	CD34_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
HUES48_Cell_Line	Fetal_Brain_Female
HSMM_Skeletal_Muscle_Myoblasts	NHDF_Ad_Adult_Dermal_Fibroblasts
NH_A_Astrocytes	Duodenum_Mucosa
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Osteoblasts
CD15_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Duodenum_Mucosa	A549_EtOH_0.02pct_Lung_Carcinoma
