(New) Cell Type	(Old) Cell Type
Psoas_Muscle	Psoas_Muscle
GM12878_Lymphoblastoid	Pancreatic_Islets
H9_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HeLa_S3_Cervical_Carcinoma	Breast_vHMEC
ES_WA7_Cell_Line	Left_Ventricle
ES_I3_Cell_Line	Right_Ventricle
Small_Intestine	Sigmoid_Colon
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Kidney
CD3_Primary_Cells_Cord_BI	NH_A_Astrocytes
Rectal_Mucosa.Donor_29	Aorta
Stomach_Smooth_Muscle	H1_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HUVEC_Umbilical_Vein_Endothelial_Cells
Fetal_Kidney	Lung
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	iPS_DF_6.9_Cell_Line
CD8_Memory_Primary_Cells	4star
NHEK_Epidermal_Keratinocytes	CD34_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
HSMM_Skeletal_Muscle_Myoblasts	Mobilized_CD34_Primary_Cells_Female
Left_Ventricle	H9_Cell_Line
NHDF_Ad_Adult_Dermal_Fibroblasts	Adult_Liver
Fetal_Brain_Female	HMEC_Mammary_Epithelial
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Angular_Gyrus
HUVEC_Umbilical_Vein_Endothelial_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Duodenum_Smooth_Muscle	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Derived_Neuron_Cultured_Cells	Brain_Hippocampus_Middle
CD34_Primary_Cells	CD4_Memory_Primary_Cells
Adult_Liver	Duodenum_Smooth_Muscle
iPS_18_Cell_Line	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Osteoblasts	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Heart	Brain_Substantia_Nigra
Fetal_Brain_Male	Muscle_Satellite_Cultured_Cells
Muscle_Satellite_Cultured_Cells	Rectal_Smooth_Muscle
HepG2_Hepatocellular_Carcinoma	Fetal_Intestine_Large
iPS_20b_Cell_Line	iPS_18_Cell_Line
A549_EtOH_0.02pct_Lung_Carcinoma	Breast_Myoepithelial_Cells
Sigmoid_Colon	Adipose_Nuclei
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Colon_Smooth_Muscle
Aorta	Pancreas
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	iPS_15b_Cell_Line
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Mid_Frontal_Lobe
Peripheral_Blood_Mononuclear_Primary_Cells	ES_I3_Cell_Line
NH_A_Astrocytes	CD8_Naive_Primary_Cells
CD19_Primary_Cells_Cord_BI	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Lung	HUES48_Cell_Line
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Brain_Anterior_Caudate
HUES64_Cell_Line	Rectal_Mucosa.Donor_31
NHLF_Lung_Fibroblasts	Rectal_Mucosa.Donor_29
Placenta_Amnion	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
K562_Leukemia	Small_Intestine
Brain_Anterior_Caudate	Brain_Inferior_Temporal_Lobe
Brain_Inferior_Temporal_Lobe	Duodenum_Mucosa
Brain_Mid_Frontal_Lobe	Fetal_Brain_Male
Brain_Angular_Gyrus	HUES64_Cell_Line
Duodenum_Mucosa	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
iPS_15b_Cell_Line	Brain_Cingulate_Gyrus
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Placenta
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Ovary	Fetal_Adrenal_Gland
Brain_Substantia_Nigra	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Hippocampus_Middle	Colonic_Mucosa
Rectal_Smooth_Muscle	CD8_Memory_Primary_Cells
Rectal_Mucosa.Donor_31	Fetal_Lung
Mobilized_CD34_Primary_Cells_Male	Skeletal_Muscle_Female
CD4_Naive_Primary_Cells	Fetal_Brain_Female
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Brain_Germinal_Matrix
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Gastric
Brain_Cingulate_Gyrus	HeLa_S3_Cervical_Carcinoma
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
H1_Cell_Line	Osteoblasts
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Stomach_Mucosa
HUES6_Cell_Line	CD4_Naive_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	NHLF_Lung_Fibroblasts
HMEC_Mammary_Epithelial	HSMM_Skeletal_Muscle_Myoblasts
Brain_Germinal_Matrix	Esophagus
CD4_Memory_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Monocytes_CD14pp_RO01746	Thymus
4star	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Thymus	Mobilized_CD34_Primary_Cells_Male
HUES48_Cell_Line	Fetal_Heart
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	HUES6_Cell_Line
Colon_Smooth_Muscle	Ovary
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD3_Primary_Cells_Cord_BI
Breast_vHMEC	CD4pp_CD25__Th_Primary_Cells
Skeletal_Muscle_Female	HepG2_Hepatocellular_Carcinoma
Right_Ventricle	Fetal_Thymus
Mobilized_CD34_Primary_Cells_Female	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Pancreas	IMR90_Cell_Line
Right_Atrium	NHEK_Epidermal_Keratinocytes
Pancreatic_Islets	CD19_Primary_Cells_Cord_BI
Adipose_Nuclei	CD14_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Fetal_Muscle_Leg
Skeletal_Muscle_Male	Fetal_Muscle_Trunk
H1_Derived_Mesenchymal_Stem_Cells	iPS_20b_Cell_Line
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
CD34_Cultured_Cells	Fetal_Stomach
Gastric	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD14_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Monocytes_CD14pp_RO01746
Fetal_Muscle_Leg	Skeletal_Muscle_Male
Fetal_Adrenal_Gland	CD34_Cultured_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Placenta_Amnion
Colonic_Mucosa	CD56_Primary_Cells
Fetal_Thymus	Stomach_Smooth_Muscle
IMR90_Cell_Line	Fetal_Intestine_Small
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
iPS_DF_6.9_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Stomach_Mucosa	CD19_Primary_Cells_Peripheral_UW
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD15_Primary_Cells
Fetal_Muscle_Trunk	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	Right_Atrium
Esophagus	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Lung	K562_Leukemia
CD8_Naive_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD56_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Fetal_Intestine_Large	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Stomach	Dnd41_TCell_Leukemia
Fetal_Placenta	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
iPS_DF_19.11_Cell_Line	H1_Derived_Mesenchymal_Stem_Cells
Breast_Myoepithelial_Cells	GM12878_Lymphoblastoid
Dnd41_TCell_Leukemia	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Spleen	Spleen
Fetal_Intestine_Small	ES_WA7_Cell_Line
CD15_Primary_Cells	iPS_DF_19.11_Cell_Line
