(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Enhancers	Active_TSS
Flanking_Active_TSS	Genic_enhancers
ZNF_genes_and_repeats	Flanking_Active_TSS
Genic_enhancers	Strong_transcription
Bivalent_Enhancer	Enhancers
Active_TSS	Weak_transcription
Bivalent_Poised_TSS	ZNF_genes_and_repeats
Flanking_Bivalent_TSS_Enh	Flanking_Bivalent_TSS_Enh
Repressed_PolyComb	Bivalent_Poised_TSS
Heterochromatin	Bivalent_Enhancer
Strong_transcription	Repressed_PolyComb
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
