(New) Cell Type	(Old) Cell Type
Rectal_Mucosa.Donor_29	Rectal_Mucosa.Donor_29
Brain_Cingulate_Gyrus	Sigmoid_Colon
Brain_Germinal_Matrix	Small_Intestine
Brain_Inferior_Temporal_Lobe	Colonic_Mucosa
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Lung
Stomach_Smooth_Muscle	Pancreas
iPS_15b_Cell_Line	Left_Ventricle
Fetal_Heart	Mobilized_CD34_Primary_Cells_Male
Colon_Smooth_Muscle	Fetal_Intestine_Large
Rectal_Mucosa.Donor_31	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Duodenum_Smooth_Muscle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
ES_I3_Cell_Line	Duodenum_Mucosa
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD34_Cultured_Cells
Adult_Liver	H9_Derived_Neuron_Cultured_Cells
Brain_Substantia_Nigra	Monocytes_CD14pp_RO01746
Fetal_Placenta	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Angular_Gyrus	Adult_Liver
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD56_Primary_Cells
Fetal_Brain_Female	Mobilized_CD34_Primary_Cells_Female
Brain_Anterior_Caudate	CD3_Primary_Cells_Peripheral_UW
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
NHLF_Lung_Fibroblasts	Dnd41_TCell_Leukemia
CD19_Primary_Cells_Cord_BI	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
CD34_Primary_Cells	Fetal_Thymus
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Lung	CD3_Primary_Cells_Cord_BI
Mobilized_CD34_Primary_Cells_Female	CD14_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	CD15_Primary_Cells
CD4_Memory_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Breast_Myoepithelial_Cells
iPS_20b_Cell_Line	Adipose_Nuclei
HUES48_Cell_Line	Fetal_Intestine_Small
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	HUES64_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Rectal_Mucosa.Donor_31
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	H1_Derived_Mesenchymal_Stem_Cells
iPS_18_Cell_Line	Duodenum_Smooth_Muscle
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Gastric
H9_Cell_Line	Fetal_Muscle_Trunk
H1_Derived_Mesenchymal_Stem_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD8_Naive_Primary_Cells	Fetal_Adrenal_Gland
CD19_Primary_Cells_Peripheral_UW	CD19_Primary_Cells_Cord_BI
Brain_Mid_Frontal_Lobe	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	Ovary
Dnd41_TCell_Leukemia	CD34_Primary_Cells
CD4_Naive_Primary_Cells	Fetal_Stomach
H1_Cell_Line	Breast_vHMEC
Fetal_Thymus	Fetal_Placenta
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Esophagus
Brain_Hippocampus_Middle	Fetal_Muscle_Leg
CD3_Primary_Cells_Cord_BI	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
4star	IMR90_Cell_Line
Fetal_Intestine_Large	Spleen
Sigmoid_Colon	HUES48_Cell_Line
Duodenum_Mucosa	Thymus
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Right_Ventricle
NH_A_Astrocytes	GM12878_Lymphoblastoid
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Stomach_Smooth_Muscle
Breast_vHMEC	Rectal_Smooth_Muscle
Breast_Myoepithelial_Cells	Skeletal_Muscle_Female
CD34_Cultured_Cells	Fetal_Lung
HUES6_Cell_Line	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	Brain_Anterior_Caudate
HUVEC_Umbilical_Vein_Endothelial_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
HeLa_S3_Cervical_Carcinoma	Brain_Hippocampus_Middle
HUES64_Cell_Line	HUES6_Cell_Line
Neurosphere_Cultured_Cells_Cortex_Derived	Aorta
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Skeletal_Muscle_Male	iPS_20b_Cell_Line
HMEC_Mammary_Epithelial	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
K562_Leukemia	HepG2_Hepatocellular_Carcinoma
CD3_Primary_Cells_Peripheral_UW	K562_Leukemia
Fetal_Muscle_Trunk	CD8_Memory_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	A549_EtOH_0.02pct_Lung_Carcinoma
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Thymus	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
A549_EtOH_0.02pct_Lung_Carcinoma	Psoas_Muscle
CD15_Primary_Cells	Brain_Inferior_Temporal_Lobe
Ovary	Skeletal_Muscle_Male
Spleen	HSMM_Skeletal_Muscle_Myoblasts
CD56_Primary_Cells	NHEK_Epidermal_Keratinocytes
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD8_Naive_Primary_Cells
IMR90_Cell_Line	Colon_Smooth_Muscle
Placenta_Amnion	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Adipose_Nuclei	CD4_Naive_Primary_Cells
Fetal_Lung	HeLa_S3_Cervical_Carcinoma
Fetal_Muscle_Leg	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Intestine_Small	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Right_Atrium	Brain_Mid_Frontal_Lobe
Monocytes_CD14pp_RO01746	Stomach_Mucosa
NHDF_Ad_Adult_Dermal_Fibroblasts	Brain_Angular_Gyrus
CD14_Primary_Cells	Brain_Cingulate_Gyrus
Muscle_Satellite_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Stomach_Mucosa	Fetal_Brain_Female
Fetal_Stomach	Osteoblasts
Fetal_Adrenal_Gland	NHLF_Lung_Fibroblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Substantia_Nigra
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD4_Memory_Primary_Cells
Skeletal_Muscle_Female	Fetal_Kidney
H9_Derived_Neuron_Cultured_Cells	iPS_18_Cell_Line
Osteoblasts	Muscle_Satellite_Cultured_Cells
Rectal_Smooth_Muscle	Brain_Germinal_Matrix
Left_Ventricle	H1_Cell_Line
H9_Derived_Neuronal_Progenitor_Cultured_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
GM12878_Lymphoblastoid	4star
CD8_Memory_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Right_Ventricle	HUVEC_Umbilical_Vein_Endothelial_Cells
Fetal_Kidney	NH_A_Astrocytes
iPS_DF_6.9_Cell_Line	HMEC_Mammary_Epithelial
Pancreas	ES_I3_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H9_Cell_Line
Fetal_Brain_Male	iPS_15b_Cell_Line
Esophagus	Pancreatic_Islets
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Heart
iPS_DF_19.11_Cell_Line	Placenta_Amnion
Gastric	Fetal_Brain_Male
Colonic_Mucosa	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Pancreatic_Islets	iPS_DF_6.9_Cell_Line
Psoas_Muscle	iPS_DF_19.11_Cell_Line
Aorta	Right_Atrium
ES_WA7_Cell_Line	ES_WA7_Cell_Line
Small_Intestine	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
