(New) Cell Type	(Old) Cell Type
Rectal_Mucosa.Donor_31	Rectal_Mucosa.Donor_31
Brain_Cingulate_Gyrus	Rectal_Mucosa.Donor_29
Brain_Angular_Gyrus	Colonic_Mucosa
HUES6_Cell_Line	Duodenum_Mucosa
Duodenum_Mucosa	Sigmoid_Colon
Brain_Germinal_Matrix	Fetal_Intestine_Small
H9_Derived_Neuron_Cultured_Cells	Fetal_Intestine_Large
Fetal_Lung	Duodenum_Smooth_Muscle
Brain_Anterior_Caudate	Stomach_Mucosa
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Rectal_Smooth_Muscle
Thymus	Small_Intestine
CD34_Primary_Cells	HepG2_Hepatocellular_Carcinoma
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Stomach_Smooth_Muscle
Brain_Hippocampus_Middle	HeLa_S3_Cervical_Carcinoma
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Colon_Smooth_Muscle
NH_A_Astrocytes	A549_EtOH_0.02pct_Lung_Carcinoma
Brain_Substantia_Nigra	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Adipose_Nuclei
GM12878_Lymphoblastoid	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
HSMM_Skeletal_Muscle_Myoblasts	NHEK_Epidermal_Keratinocytes
Brain_Inferior_Temporal_Lobe	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Rectal_Smooth_Muscle	NHLF_Lung_Fibroblasts
Duodenum_Smooth_Muscle	Skeletal_Muscle_Male
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Peripheral_Blood_Mononuclear_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Fetal_Kidney
HMEC_Mammary_Epithelial	Skeletal_Muscle_Female
H1_Cell_Line	Gastric
Monocytes_CD14pp_RO01746	HSMM_Skeletal_Muscle_Myoblasts
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Adult_Liver
HeLa_S3_Cervical_Carcinoma	NHDF_Ad_Adult_Dermal_Fibroblasts
Osteoblasts	Osteoblasts
4star	H9_Derived_Neuronal_Progenitor_Cultured_Cells
K562_Leukemia	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Brain_Mid_Frontal_Lobe
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Mobilized_CD34_Primary_Cells_Male
iPS_20b_Cell_Line	CD34_Cultured_Cells
Skeletal_Muscle_Male	Muscle_Satellite_Cultured_Cells
ES_I3_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Esophagus
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Breast_Myoepithelial_Cells
iPS_18_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Right_Ventricle	Pancreas
HUES48_Cell_Line	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Adipose_Nuclei	Brain_Anterior_Caudate
CD4_Naive_Primary_Cells	Thymus
Ovary	Mobilized_CD34_Primary_Cells_Female
CD19_Primary_Cells_Cord_BI	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Placenta_Amnion	CD8_Memory_Primary_Cells
Fetal_Brain_Male	Fetal_Lung
Muscle_Satellite_Cultured_Cells	HMEC_Mammary_Epithelial
NHLF_Lung_Fibroblasts	Fetal_Stomach
IMR90_Cell_Line	K562_Leukemia
Skeletal_Muscle_Female	Brain_Hippocampus_Middle
Adult_Liver	IMR90_Cell_Line
Colon_Smooth_Muscle	Monocytes_CD14pp_RO01746
Sigmoid_Colon	Lung
CD8_Memory_Primary_Cells	CD3_Primary_Cells_Cord_BI
Mobilized_CD34_Primary_Cells_Male	Fetal_Thymus
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
iPS_15b_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Brain_Mid_Frontal_Lobe	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Brain_Female	Right_Atrium
HUES64_Cell_Line	Pancreatic_Islets
Stomach_Smooth_Muscle	Dnd41_TCell_Leukemia
Rectal_Mucosa.Donor_29	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD4_Memory_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
Left_Ventricle	Brain_Cingulate_Gyrus
CD3_Primary_Cells_Cord_BI	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	CD19_Primary_Cells_Cord_BI
NHDF_Ad_Adult_Dermal_Fibroblasts	HUES64_Cell_Line
Fetal_Heart	Brain_Inferior_Temporal_Lobe
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	NH_A_Astrocytes
Pancreatic_Islets	CD4_Naive_Primary_Cells
Stomach_Mucosa	GM12878_Lymphoblastoid
CD4pp_CD25__Th_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Fetal_Stomach	Fetal_Muscle_Leg
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Angular_Gyrus
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	HUES6_Cell_Line
HepG2_Hepatocellular_Carcinoma	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Psoas_Muscle	Fetal_Adrenal_Gland
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Fetal_Muscle_Trunk
Breast_vHMEC	HUVEC_Umbilical_Vein_Endothelial_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	iPS_15b_Cell_Line
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	ES_I3_Cell_Line
Dnd41_TCell_Leukemia	Fetal_Placenta
CD3_Primary_Cells_Peripheral_UW	CD34_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	CD56_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Fetal_Brain_Female
CD19_Primary_Cells_Peripheral_UW	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD8_Naive_Primary_Cells	iPS_20b_Cell_Line
Mobilized_CD34_Primary_Cells_Female	iPS_18_Cell_Line
CD56_Primary_Cells	Brain_Germinal_Matrix
Right_Atrium	HUES48_Cell_Line
CD34_Cultured_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Thymus	H1_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD4_Memory_Primary_Cells
Fetal_Adrenal_Gland	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Fetal_Kidney	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
Neurosphere_Cultured_Cells_Cortex_Derived	Breast_vHMEC
Fetal_Muscle_Trunk	Right_Ventricle
Small_Intestine	CD15_Primary_Cells
Fetal_Muscle_Leg	CD14_Primary_Cells
CD15_Primary_Cells	CD8_Naive_Primary_Cells
Breast_Myoepithelial_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Colonic_Mucosa	Brain_Substantia_Nigra
H9_Cell_Line	H9_Cell_Line
Fetal_Intestine_Small	Spleen
