(New) Cell Type	(Old) Cell Type
Rectal_Mucosa.Donor_31	Rectal_Mucosa.Donor_31
CD3_Primary_Cells_Cord_BI	Colonic_Mucosa
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD8_Memory_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD4_Memory_Primary_Cells
Adipose_Nuclei	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Fetal_Placenta	CD8_Naive_Primary_Cells
Rectal_Mucosa.Donor_29	CD4_Naive_Primary_Cells
Duodenum_Mucosa	Small_Intestine
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Rectal_Smooth_Muscle
Fetal_Intestine_Large	Placenta_Amnion
H1_Cell_Line	Fetal_Kidney
HMEC_Mammary_Epithelial	HUVEC_Umbilical_Vein_Endothelial_Cells
4star	Fetal_Brain_Male
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	HeLa_S3_Cervical_Carcinoma
Breast_Myoepithelial_Cells	Brain_Mid_Frontal_Lobe
HepG2_Hepatocellular_Carcinoma	Colon_Smooth_Muscle
Skeletal_Muscle_Female	Brain_Substantia_Nigra
Osteoblasts	Brain_Angular_Gyrus
Fetal_Muscle_Trunk	NHLF_Lung_Fibroblasts
Neurosphere_Cultured_Cells_Cortex_Derived	NH_A_Astrocytes
Duodenum_Smooth_Muscle	Esophagus
CD19_Primary_Cells_Cord_BI	Brain_Cingulate_Gyrus
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Fetal_Muscle_Leg	Psoas_Muscle
A549_EtOH_0.02pct_Lung_Carcinoma	HMEC_Mammary_Epithelial
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Skeletal_Muscle_Male
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
GM12878_Lymphoblastoid	iPS_DF_6.9_Cell_Line
Fetal_Thymus	Brain_Inferior_Temporal_Lobe
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Sigmoid_Colon
iPS_18_Cell_Line	H9_Cell_Line
IMR90_Cell_Line	Right_Ventricle
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	NHEK_Epidermal_Keratinocytes
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Gastric
Skeletal_Muscle_Male	Brain_Hippocampus_Middle
Adult_Liver	Brain_Anterior_Caudate
CD4pp_CD25__Th_Primary_Cells	Aorta
