(New) Cell Type	(Old) Cell Type
Rectal_Mucosa.Donor_31	Rectal_Mucosa.Donor_31
Duodenum_Mucosa	Small_Intestine
CD3_Primary_Cells_Peripheral_UW	Sigmoid_Colon
Neurosphere_Cultured_Cells_Cortex_Derived	Stomach_Mucosa
Rectal_Smooth_Muscle	Rectal_Mucosa.Donor_29
Adipose_Nuclei	Colonic_Mucosa
Brain_Hippocampus_Middle	Duodenum_Mucosa
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Rectal_Smooth_Muscle
Stomach_Smooth_Muscle	Fetal_Intestine_Large
Skeletal_Muscle_Female	Lung
Brain_Anterior_Caudate	Pancreatic_Islets
iPS_15b_Cell_Line	Brain_Angular_Gyrus
Skeletal_Muscle_Male	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD34_Cultured_Cells	Pancreas
Fetal_Intestine_Large	Gastric
Fetal_Brain_Female	Left_Ventricle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	iPS_DF_6.9_Cell_Line
Mobilized_CD34_Primary_Cells_Female	Fetal_Brain_Male
Left_Ventricle	Psoas_Muscle
Lung	Fetal_Placenta
Colonic_Mucosa	Fetal_Kidney
Brain_Cingulate_Gyrus	Colon_Smooth_Muscle
H1_Derived_Mesenchymal_Stem_Cells	Mobilized_CD34_Primary_Cells_Female
Adult_Liver	Esophagus
Rectal_Mucosa.Donor_29	Neurosphere_Cultured_Cells_Cortex_Derived
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Placenta_Amnion
Mobilized_CD34_Primary_Cells_Male	Adipose_Nuclei
4star	Brain_Anterior_Caudate
Esophagus	Brain_Substantia_Nigra
Fetal_Muscle_Leg	CD8_Naive_Primary_Cells
Aorta	4star
HepG2_Hepatocellular_Carcinoma	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD34_Primary_Cells
Gastric	Brain_Mid_Frontal_Lobe
Pancreas	CD4_Memory_Primary_Cells
Duodenum_Smooth_Muscle	Right_Ventricle
Sigmoid_Colon	Breast_vHMEC
Brain_Germinal_Matrix	Brain_Hippocampus_Middle
Fetal_Muscle_Trunk	Duodenum_Smooth_Muscle
Colon_Smooth_Muscle	H1_Cell_Line
HeLa_S3_Cervical_Carcinoma	Brain_Inferior_Temporal_Lobe
HMEC_Mammary_Epithelial	iPS_15b_Cell_Line
H1_Cell_Line	Fetal_Adrenal_Gland
H9_Cell_Line	Brain_Cingulate_Gyrus
Right_Atrium	Adult_Liver
Brain_Mid_Frontal_Lobe	CD14_Primary_Cells
Fetal_Lung	Aorta
CD14_Primary_Cells	Fetal_Lung
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Adrenal_Gland	CD8_Memory_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Spleen	H9_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4pp_CD25__Th_Primary_Cells
Thymus	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD56_Primary_Cells	ES_I3_Cell_Line
IMR90_Cell_Line	HMEC_Mammary_Epithelial
