(New) Cell Type	(Old) Cell Type
Rectal_Smooth_Muscle	Rectal_Smooth_Muscle
Psoas_Muscle	Colon_Smooth_Muscle
4star	Duodenum_Smooth_Muscle
Right_Atrium	Stomach_Smooth_Muscle
Left_Ventricle	Colonic_Mucosa
CD4_Naive_Primary_Cells	Rectal_Mucosa.Donor_31
A549_EtOH_0.02pct_Lung_Carcinoma	Rectal_Mucosa.Donor_29
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Substantia_Nigra
Placenta_Amnion	Duodenum_Mucosa
Gastric	Brain_Angular_Gyrus
Fetal_Brain_Female	Adipose_Nuclei
Ovary	Brain_Anterior_Caudate
CD8_Memory_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Osteoblasts	Fetal_Intestine_Small
HSMM_Skeletal_Muscle_Myoblasts	Esophagus
CD34_Primary_Cells	Brain_Mid_Frontal_Lobe
Brain_Substantia_Nigra	Skeletal_Muscle_Female
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Thymus	CD8_Memory_Primary_Cells
NHLF_Lung_Fibroblasts	CD4pp_CD25__Th_Primary_Cells
CD19_Primary_Cells_Cord_BI	Adult_Liver
Brain_Anterior_Caudate	Brain_Cingulate_Gyrus
Colon_Smooth_Muscle	Brain_Inferior_Temporal_Lobe
CD4_Memory_Primary_Cells	Brain_Hippocampus_Middle
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Fetal_Intestine_Large
GM12878_Lymphoblastoid	CD4_Naive_Primary_Cells
Adult_Liver	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD4_Memory_Primary_Cells
Fetal_Lung	Psoas_Muscle
Brain_Angular_Gyrus	Mobilized_CD34_Primary_Cells_Female
Brain_Germinal_Matrix	CD8_Naive_Primary_Cells
Brain_Cingulate_Gyrus	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Stomach
NH_A_Astrocytes	Left_Ventricle
CD3_Primary_Cells_Cord_BI	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Skeletal_Muscle_Male
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Inferior_Temporal_Lobe	CD34_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Stomach_Mucosa
NHEK_Epidermal_Keratinocytes	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
iPS_DF_6.9_Cell_Line	Ovary
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Small_Intestine	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Rectal_Mucosa.Donor_29	Placenta_Amnion
Rectal_Mucosa.Donor_31	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Breast_Myoepithelial_Cells
Duodenum_Mucosa	Spleen
Duodenum_Smooth_Muscle	CD3_Primary_Cells_Cord_BI
Muscle_Satellite_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Brain_Mid_Frontal_Lobe	HMEC_Mammary_Epithelial
