(New) Cell Type	(Old) Cell Type
Rectal_Smooth_Muscle	Rectal_Smooth_Muscle
Brain_Angular_Gyrus	Colonic_Mucosa
Brain_Substantia_Nigra	Small_Intestine
Ovary	Pancreatic_Islets
Brain_Cingulate_Gyrus	Fetal_Brain_Male
Brain_Mid_Frontal_Lobe	Stomach_Mucosa
Brain_Inferior_Temporal_Lobe	iPS_DF_6.9_Cell_Line
CD3_Primary_Cells_Cord_BI	Fetal_Kidney
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Osteoblasts	Psoas_Muscle
Mobilized_CD34_Primary_Cells_Female	Brain_Mid_Frontal_Lobe
NHLF_Lung_Fibroblasts	Brain_Angular_Gyrus
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Heart
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Substantia_Nigra
Brain_Anterior_Caudate	Esophagus
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Right_Ventricle
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Gastric
Muscle_Satellite_Cultured_Cells	Aorta
Placenta_Amnion	Pancreas
Colon_Smooth_Muscle	Fetal_Adrenal_Gland
CD14_Primary_Cells	Adipose_Nuclei
NHEK_Epidermal_Keratinocytes	Rectal_Mucosa.Donor_29
iPS_15b_Cell_Line	CD8_Memory_Primary_Cells
Monocytes_CD14pp_RO01746	Fetal_Muscle_Trunk
Fetal_Lung	Duodenum_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Duodenum_Mucosa
Colonic_Mucosa	Stomach_Smooth_Muscle
IMR90_Cell_Line	Colon_Smooth_Muscle
Fetal_Intestine_Small	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Neurosphere_Cultured_Cells_Cortex_Derived	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Hippocampus_Middle	Fetal_Intestine_Large
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Placenta
H9_Cell_Line	Sigmoid_Colon
Lung	Rectal_Mucosa.Donor_31
A549_EtOH_0.02pct_Lung_Carcinoma	Breast_Myoepithelial_Cells
Fetal_Placenta	Fetal_Muscle_Leg
Left_Ventricle	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Skeletal_Muscle_Female
Spleen	Left_Ventricle
Right_Ventricle	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Brain_Anterior_Caudate
ES_I3_Cell_Line	Lung
CD15_Primary_Cells	Skeletal_Muscle_Male
HUVEC_Umbilical_Vein_Endothelial_Cells	ES_I3_Cell_Line
Mobilized_CD34_Primary_Cells_Male	Brain_Cingulate_Gyrus
CD34_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Skeletal_Muscle_Male	IMR90_Cell_Line
Fetal_Brain_Female	Brain_Inferior_Temporal_Lobe
Brain_Germinal_Matrix	CD4_Memory_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Placenta_Amnion
CD4_Naive_Primary_Cells	Adult_Liver
Aorta	Ovary
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Brain_Hippocampus_Middle
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Spleen
H1_Derived_Mesenchymal_Stem_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD34_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD8_Naive_Primary_Cells
Fetal_Intestine_Large	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Sigmoid_Colon	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Stomach	CD4_Naive_Primary_Cells
CD4_Memory_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
H1_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
GM12878_Lymphoblastoid	Fetal_Lung
Thymus	CD4pp_CD25__Th_Primary_Cells
HeLa_S3_Cervical_Carcinoma	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
NH_A_Astrocytes	NHLF_Lung_Fibroblasts
HMEC_Mammary_Epithelial	CD14_Primary_Cells
Breast_Myoepithelial_Cells	CD15_Primary_Cells
Fetal_Muscle_Leg	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
