(New) Chromatin State	(Old) Chromatin State
Flanking_Active_TSS	Bivalent_Poised_TSS
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Bivalent_Enhancer	Repressed_PolyComb
Transcr_at_gene_5_and_3	Bivalent_Enhancer
Flanking_Bivalent_TSS_Enh	ZNF_genes_and_repeats
ZNF_genes_and_repeats	Active_TSS
Genic_enhancers	Heterochromatin
Enhancers	Weak_Repressed_PolyComb
Active_TSS	Flanking_Active_TSS
Repressed_PolyComb	Transcr_at_gene_5_and_3
Heterochromatin	Enhancers
Strong_transcription	Genic_enhancers
Weak_transcription	Weak_transcription
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
