(New) Cell Type	(Old) Cell Type
Right_Atrium	Right_Atrium
Aorta	Aorta
Fetal_Brain_Male	Psoas_Muscle
Pancreatic_Islets	Right_Ventricle
Sigmoid_Colon	Left_Ventricle
Fetal_Lung	Pancreas
Brain_Angular_Gyrus	Adipose_Nuclei
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Duodenum_Smooth_Muscle
iPS_DF_6.9_Cell_Line	Brain_Hippocampus_Middle
Small_Intestine	Stomach_Smooth_Muscle
HeLa_S3_Cervical_Carcinoma	Lung
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Stomach_Mucosa	Mobilized_CD34_Primary_Cells_Female
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	H9_Derived_Neuron_Cultured_Cells
Fetal_Heart	Small_Intestine
NHDF_Ad_Adult_Dermal_Fibroblasts	Esophagus
HSMM_Skeletal_Muscle_Myoblasts	Breast_Myoepithelial_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Skeletal_Muscle_Female
CD34_Primary_Cells	Placenta_Amnion
A549_EtOH_0.02pct_Lung_Carcinoma	Adult_Liver
Psoas_Muscle	CD19_Primary_Cells_Peripheral_UW
Gastric	Gastric
Brain_Substantia_Nigra	Sigmoid_Colon
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Inferior_Temporal_Lobe
K562_Leukemia	Mobilized_CD34_Primary_Cells_Male
H9_Cell_Line	iPS_15b_Cell_Line
Rectal_Smooth_Muscle	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
ES_WA7_Cell_Line	Stomach_Mucosa
Left_Ventricle	HUES48_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	HUES64_Cell_Line
Colon_Smooth_Muscle	Ovary
Adult_Liver	4star
Placenta_Amnion	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
NHLF_Lung_Fibroblasts	Fetal_Muscle_Trunk
CD4_Naive_Primary_Cells	Brain_Cingulate_Gyrus
CD19_Primary_Cells_Cord_BI	HMEC_Mammary_Epithelial
Peripheral_Blood_Mononuclear_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
H1_Derived_Mesenchymal_Stem_Cells	iPS_DF_19.11_Cell_Line
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	HUES6_Cell_Line
ES_I3_Cell_Line	CD34_Primary_Cells
Brain_Anterior_Caudate	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Inferior_Temporal_Lobe	ES_I3_Cell_Line
Ovary	iPS_DF_6.9_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Fetal_Heart
Fetal_Brain_Female	Peripheral_Blood_Mononuclear_Primary_Cells
Osteoblasts	Skeletal_Muscle_Male
H1_BMP4_Derived_Trophoblast_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Brain_Mid_Frontal_Lobe	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD8_Memory_Primary_Cells	iPS_18_Cell_Line
4star	iPS_20b_Cell_Line
Pancreas	Brain_Angular_Gyrus
Rectal_Mucosa.Donor_29	CD4pp_CD25__Th_Primary_Cells
Spleen	CD3_Primary_Cells_Peripheral_UW
Thymus	Brain_Mid_Frontal_Lobe
Brain_Cingulate_Gyrus	Fetal_Brain_Male
iPS_DF_19.11_Cell_Line	NH_A_Astrocytes
GM12878_Lymphoblastoid	Brain_Anterior_Caudate
NH_A_Astrocytes	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Lung	Muscle_Satellite_Cultured_Cells
Rectal_Mucosa.Donor_31	Colonic_Mucosa
Right_Ventricle	Fetal_Adrenal_Gland
CD8_Naive_Primary_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Fetal_Kidney	Fetal_Muscle_Leg
CD4_Memory_Primary_Cells	H1_Cell_Line
CD34_Cultured_Cells	CD34_Cultured_Cells
CD3_Primary_Cells_Cord_BI	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Brain_Germinal_Matrix	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD8_Naive_Primary_Cells
Esophagus	Brain_Substantia_Nigra
iPS_15b_Cell_Line	Colon_Smooth_Muscle
Stomach_Smooth_Muscle	Fetal_Placenta
Duodenum_Smooth_Muscle	Rectal_Smooth_Muscle
Breast_vHMEC	H1_Derived_Mesenchymal_Stem_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Brain_Germinal_Matrix
Duodenum_Mucosa	Breast_vHMEC
Muscle_Satellite_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
IMR90_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Fetal_Intestine_Large	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Cell_Line
HUVEC_Umbilical_Vein_Endothelial_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
H1_Cell_Line	Fetal_Thymus
Brain_Hippocampus_Middle	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
NHEK_Epidermal_Keratinocytes	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HUES48_Cell_Line	CD8_Memory_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD56_Primary_Cells
HUES64_Cell_Line	NHLF_Lung_Fibroblasts
Adipose_Nuclei	ES_WA7_Cell_Line
Dnd41_TCell_Leukemia	HSMM_Skeletal_Muscle_Myoblasts
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4_Naive_Primary_Cells
iPS_20b_Cell_Line	Spleen
Colonic_Mucosa	Thymus
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Pancreatic_Islets
Monocytes_CD14pp_RO01746	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Intestine_Small	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Skeletal_Muscle_Female	CD4_Memory_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Duodenum_Mucosa
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Rectal_Mucosa.Donor_31
HUES6_Cell_Line	Rectal_Mucosa.Donor_29
CD15_Primary_Cells	Fetal_Stomach
Mobilized_CD34_Primary_Cells_Male	A549_EtOH_0.02pct_Lung_Carcinoma
Neurosphere_Cultured_Cells_Cortex_Derived	NHEK_Epidermal_Keratinocytes
Fetal_Stomach	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_18_Cell_Line	Fetal_Brain_Female
Fetal_Placenta	CD15_Primary_Cells
CD56_Primary_Cells	Fetal_Kidney
Skeletal_Muscle_Male	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Osteoblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Fetal_Lung
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
HMEC_Mammary_Epithelial	Fetal_Intestine_Large
HepG2_Hepatocellular_Carcinoma	Fetal_Intestine_Small
Breast_Myoepithelial_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
H9_Derived_Neuron_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
Fetal_Muscle_Trunk	CD3_Primary_Cells_Cord_BI
Mobilized_CD34_Primary_Cells_Female	NHDF_Ad_Adult_Dermal_Fibroblasts
Fetal_Thymus	CD19_Primary_Cells_Cord_BI
