(New) Cell Type	(Old) Cell Type
Right_Ventricle	Right_Ventricle
iPS_DF_19.11_Cell_Line	Skeletal_Muscle_Male
Fetal_Placenta	Duodenum_Smooth_Muscle
Brain_Mid_Frontal_Lobe	Spleen
Rectal_Smooth_Muscle	Lung
Fetal_Muscle_Trunk	Skeletal_Muscle_Female
Brain_Hippocampus_Middle	Esophagus
Brain_Angular_Gyrus	Left_Ventricle
HUES6_Cell_Line	Brain_Mid_Frontal_Lobe
Brain_Substantia_Nigra	Stomach_Smooth_Muscle
Ovary	Brain_Hippocampus_Middle
NHLF_Lung_Fibroblasts	Rectal_Smooth_Muscle
IMR90_Cell_Line	Ovary
Pancreatic_Islets	Psoas_Muscle
NHDF_Ad_Adult_Dermal_Fibroblasts	Adipose_Nuclei
ES_I3_Cell_Line	iPS_DF_19.11_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Colonic_Mucosa
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Placenta_Amnion
Brain_Cingulate_Gyrus	Brain_Anterior_Caudate
Colonic_Mucosa	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Stomach	Colon_Smooth_Muscle
Breast_Myoepithelial_Cells	Brain_Substantia_Nigra
Brain_Inferior_Temporal_Lobe	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Kidney	Fetal_Stomach
K562_Leukemia	Brain_Angular_Gyrus
Stomach_Mucosa	Brain_Cingulate_Gyrus
Fetal_Muscle_Leg	Fetal_Muscle_Trunk
H1_BMP4_Derived_Trophoblast_Cultured_Cells	iPS_DF_6.9_Cell_Line
Colon_Smooth_Muscle	Fetal_Adrenal_Gland
A549_EtOH_0.02pct_Lung_Carcinoma	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Intestine_Small	H9_Cell_Line
Peripheral_Blood_Mononuclear_Primary_Cells	Brain_Inferior_Temporal_Lobe
Duodenum_Smooth_Muscle	H1_BMP4_Derived_Trophoblast_Cultured_Cells
HUES64_Cell_Line	Duodenum_Mucosa
Small_Intestine	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
iPS_15b_Cell_Line	Small_Intestine
Sigmoid_Colon	Sigmoid_Colon
iPS_18_Cell_Line	Fetal_Placenta
Brain_Anterior_Caudate	4star
Fetal_Thymus	Brain_Germinal_Matrix
Fetal_Intestine_Large	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
