(New) Cell Type	(Old) Cell Type
Right_Ventricle	Right_Ventricle
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Small_Intestine
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Spleen	Psoas_Muscle
Neurosphere_Cultured_Cells_Cortex_Derived	Esophagus
Brain_Mid_Frontal_Lobe	Aorta
CD3_Primary_Cells_Cord_BI	Pancreas
Muscle_Satellite_Cultured_Cells	iPS_DF_6.9_Cell_Line
Mobilized_CD34_Primary_Cells_Female	iPS_DF_19.11_Cell_Line
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Gastric
IMR90_Cell_Line	Fetal_Adrenal_Gland
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Muscle_Trunk
Colonic_Mucosa	Adipose_Nuclei
iPS_15b_Cell_Line	Stomach_Smooth_Muscle
CD15_Primary_Cells	Lung
iPS_DF_6.9_Cell_Line	Skeletal_Muscle_Male
Gastric	Spleen
CD14_Primary_Cells	Left_Ventricle
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Brain_Male
Lung	Fetal_Muscle_Leg
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Colonic_Mucosa
Aorta	Rectal_Smooth_Muscle
NHLF_Lung_Fibroblasts	Fetal_Placenta
Esophagus	Duodenum_Smooth_Muscle
Pancreas	Brain_Mid_Frontal_Lobe
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Skeletal_Muscle_Female
H9_Derived_Neuron_Cultured_Cells	Brain_Anterior_Caudate
Thymus	Stomach_Mucosa
Fetal_Brain_Female	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Rectal_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Cingulate_Gyrus
Osteoblasts	Fetal_Stomach
Brain_Angular_Gyrus	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Intestine_Small	Brain_Substantia_Nigra
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Brain_Inferior_Temporal_Lobe
Fetal_Intestine_Large	Brain_Angular_Gyrus
Fetal_Thymus	Brain_Hippocampus_Middle
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Placenta_Amnion
Placenta_Amnion	Ovary
Fetal_Stomach	Colon_Smooth_Muscle
NHEK_Epidermal_Keratinocytes	Pancreatic_Islets
Brain_Cingulate_Gyrus	IMR90_Cell_Line
HeLa_S3_Cervical_Carcinoma	Fetal_Intestine_Large
Ovary	Breast_Myoepithelial_Cells
H9_Cell_Line	Rectal_Mucosa.Donor_29
Fetal_Lung	H1_Derived_Mesenchymal_Stem_Cells
Skeletal_Muscle_Male	Sigmoid_Colon
Brain_Substantia_Nigra	Duodenum_Mucosa
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Heart
HepG2_Hepatocellular_Carcinoma	NHLF_Lung_Fibroblasts
NH_A_Astrocytes	iPS_15b_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Brain_Inferior_Temporal_Lobe	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Monocytes_CD14pp_RO01746	Rectal_Mucosa.Donor_31
NHDF_Ad_Adult_Dermal_Fibroblasts	H9_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Adult_Liver
Brain_Germinal_Matrix	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Breast_Myoepithelial_Cells	Brain_Germinal_Matrix
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	CD8_Memory_Primary_Cells
CD34_Cultured_Cells	CD4_Memory_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD34_Primary_Cells	CD8_Naive_Primary_Cells
ES_I3_Cell_Line	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Adrenal_Gland	CD4_Naive_Primary_Cells
Brain_Anterior_Caudate	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Placenta	Fetal_Brain_Female
Colon_Smooth_Muscle	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Stomach_Smooth_Muscle	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Left_Ventricle	Fetal_Kidney
Brain_Hippocampus_Middle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Muscle_Leg	HeLa_S3_Cervical_Carcinoma
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Thymus
H1_Cell_Line	H1_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	NH_A_Astrocytes
HUES6_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	CD15_Primary_Cells
HUES64_Cell_Line	Osteoblasts
CD56_Primary_Cells	Muscle_Satellite_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD4pp_CD25__Th_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Sigmoid_Colon	Mobilized_CD34_Primary_Cells_Female
GM12878_Lymphoblastoid	ES_I3_Cell_Line
CD19_Primary_Cells_Cord_BI	HMEC_Mammary_Epithelial
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
Fetal_Heart	CD14_Primary_Cells
Fetal_Brain_Male	K562_Leukemia
Skeletal_Muscle_Female	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
HMEC_Mammary_Epithelial	Fetal_Lung
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	4star
HUES48_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
iPS_18_Cell_Line	CD56_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Dnd41_TCell_Leukemia	HUES6_Cell_Line
K562_Leukemia	NHDF_Ad_Adult_Dermal_Fibroblasts
iPS_20b_Cell_Line	Fetal_Thymus
Adipose_Nuclei	NHEK_Epidermal_Keratinocytes
CD3_Primary_Cells_Peripheral_UW	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Duodenum_Mucosa	ES_WA7_Cell_Line
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Monocytes_CD14pp_RO01746
CD4_Memory_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
CD8_Naive_Primary_Cells	GM12878_Lymphoblastoid
CD4pp_CD25__Th_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
CD4_Naive_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Duodenum_Smooth_Muscle	CD19_Primary_Cells_Peripheral_UW
4star	H9_Derived_Neuron_Cultured_Cells
Fetal_Muscle_Trunk	HSMM_Skeletal_Muscle_Myoblasts
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	HepG2_Hepatocellular_Carcinoma
Fetal_Kidney	iPS_18_Cell_Line
Small_Intestine	CD34_Primary_Cells
Pancreatic_Islets	HUES48_Cell_Line
CD8_Memory_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Rectal_Mucosa.Donor_29	Fetal_Intestine_Small
CD19_Primary_Cells_Peripheral_UW	CD34_Cultured_Cells
Adult_Liver	CD19_Primary_Cells_Cord_BI
iPS_DF_19.11_Cell_Line	CD3_Primary_Cells_Cord_BI
Rectal_Mucosa.Donor_31	HUES64_Cell_Line
Right_Atrium	iPS_20b_Cell_Line
Stomach_Mucosa	Dnd41_TCell_Leukemia
Breast_vHMEC	Breast_vHMEC
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Psoas_Muscle	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
ES_WA7_Cell_Line	Right_Atrium
