(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Bivalent_Enhancer	Genic_enhancers
ZNF_genes_and_repeats	Flanking_Active_TSS
Bivalent_Poised_TSS	Active_TSS
Active_TSS	Enhancers
Flanking_Active_TSS	Flanking_Bivalent_TSS_Enh
Enhancers	Strong_transcription
Genic_enhancers	Bivalent_Enhancer
Repressed_PolyComb	Bivalent_Poised_TSS
Flanking_Bivalent_TSS_Enh	Repressed_PolyComb
Heterochromatin	Weak_transcription
Strong_transcription	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
